DateTime,Santee_Discharge,FashionValley_Discharge,Lindberch_Precipitation,Lindberch_AirTemperature,Lindberch_WindSpeed
1939-10-26,5.663360000000001,,0.0,1.67,
1939-10-27,5.663360000000001,,0.0,1.665,
1939-10-28,2.8316800000000004,,0.0,2.08,
1939-10-29,2.8316800000000004,,0.0,2.11,
1939-10-30,2.8316800000000004,,0.0,2.335,
1939-10-31,2.8316800000000004,,0.0,2.165,
1939-11-01,2.8316800000000004,,0.0,1.775,
1939-11-02,5.663360000000001,,0.0,1.72,
1939-11-03,5.663360000000001,,0.0,1.725,
1939-11-04,5.663360000000001,,0.0,1.72,
1939-11-05,5.663360000000001,,0.0,1.835,
1939-11-06,5.663360000000001,,0.0,1.805,
1939-11-07,5.663360000000001,,0.0,1.83,
1939-11-08,5.663360000000001,,0.43,1.725,
1939-11-09,5.663360000000001,,0.43,1.72,
1939-11-10,5.663360000000001,,0.0,1.61,
1939-11-11,5.663360000000001,,0.0,1.61,
1939-11-12,5.663360000000001,,0.0,1.78,
1939-11-13,5.663360000000001,,0.0,1.83,
1939-11-14,2.8316800000000004,,0.0,1.67,
1939-11-15,2.8316800000000004,,0.0,1.585,
1939-11-16,2.8316800000000004,,0.0,1.61,
1939-11-17,5.663360000000001,,0.0,1.61,
1939-11-18,5.663360000000001,,0.0,1.78,
1939-11-19,5.663360000000001,,0.0,1.805,
1939-11-20,5.663360000000001,,0.0,1.945,
1939-11-21,2.8316800000000004,,0.0,1.78,
1939-11-22,2.8316800000000004,,0.0,1.83,
1939-11-23,2.8316800000000004,,0.0,1.835,
1939-11-24,11.326720000000002,,0.0,1.89,
1939-11-25,8.49504,,0.0,1.67,
1939-11-26,5.663360000000001,,0.0,1.5,
1939-11-27,5.663360000000001,,0.0,1.47,
1939-11-28,14.1584,,2.01,1.585,
1939-11-29,8.49504,,0.0,1.5,
1939-11-30,5.663360000000001,,0.0,1.47,
1939-12-01,5.663360000000001,,0.0,1.61,
1939-12-02,5.663360000000001,,0.0,1.75,
1939-12-03,5.663360000000001,,0.0,1.885,
1939-12-04,5.663360000000001,,0.0,1.805,
1939-12-05,5.663360000000001,,0.0,1.86,
1939-12-06,5.663360000000001,,0.0,1.83,
1939-12-07,5.663360000000001,,0.0,1.75,
1939-12-08,5.663360000000001,,0.0,1.72,
1939-12-09,5.663360000000001,,0.0,1.835,
1939-12-10,5.663360000000001,,0.0,1.72,
1939-12-11,5.663360000000001,,0.0,1.555,
1939-12-12,5.663360000000001,,0.0,1.72,
1939-12-13,2.8316800000000004,,0.0,1.75,
1939-12-14,2.8316800000000004,,0.0,1.695,
1939-12-15,2.8316800000000004,,0.0,1.665,
1939-12-16,2.8316800000000004,,0.0,1.61,
1939-12-17,2.8316800000000004,,0.0,1.47,
1939-12-18,2.8316800000000004,,0.0,1.47,
1939-12-19,2.8316800000000004,,0.0,1.585,
1939-12-20,2.8316800000000004,,0.0,1.5,
1939-12-21,2.8316800000000004,,0.0,1.475,
1939-12-22,2.8316800000000004,,0.0,1.475,
1939-12-23,8.49504,,1.04,1.36,
1939-12-24,11.326720000000002,,0.33,1.25,
1939-12-25,5.663360000000001,,0.0,1.28,
1939-12-26,5.663360000000001,,0.0,1.305,
1939-12-27,2.8316800000000004,,0.0,1.25,
1939-12-28,5.663360000000001,,0.0,1.305,
1939-12-29,2.8316800000000004,,0.0,1.385,
1939-12-30,5.663360000000001,,0.0,1.44,
1939-12-31,5.663360000000001,,0.0,1.5,
1940-01-01,5.663360000000001,,0.0,1.665,
1940-01-02,5.663360000000001,,0.0,1.555,
1940-01-03,8.49504,,0.03,1.665,
1940-01-04,14.1584,,0.69,1.58,
1940-01-05,16.99008,,0.0,1.5,
1940-01-06,28.3168,,0.48,1.335,
1940-01-07,28.3168,,0.58,1.47,
1940-01-08,76.45536000000001,,1.75,1.555,
1940-01-09,42.4752,,0.08,1.53,
1940-01-10,28.3168,,0.03,1.58,
1940-01-11,25.485120000000002,,0.23,1.695,
1940-01-12,28.3168,,0.23,1.47,
1940-01-13,33.98016,,0.0,1.28,
1940-01-14,22.653440000000003,,0.0,1.165,
1940-01-15,14.1584,,0.0,1.25,
1940-01-16,14.1584,,0.0,1.36,
1940-01-17,11.326720000000002,,0.0,1.28,
1940-01-18,11.326720000000002,,0.0,1.195,
1940-01-19,11.326720000000002,,0.0,1.25,
1940-01-20,11.326720000000002,,0.0,1.165,
1940-01-21,11.326720000000002,,0.0,1.195,
1940-01-22,11.326720000000002,,0.0,1.33,
1940-01-23,14.1584,,1.37,1.585,
1940-01-24,76.45536000000001,,0.0,1.475,
1940-01-25,33.98016,,0.0,1.415,
1940-01-26,22.653440000000003,,0.0,1.47,
1940-01-27,19.82176,,0.0,1.56,
1940-01-28,16.99008,,0.0,1.61,
1940-01-29,14.1584,,0.0,1.695,
1940-01-30,14.1584,,0.0,1.525,
1940-01-31,11.326720000000002,,0.0,1.61,
1940-02-01,33.98016,,2.49,1.305,
1940-02-02,269.0096,,0.66,1.47,
1940-02-03,5097.024,,2.36,1.555,
1940-02-04,11071.8688,,0.03,1.555,
1940-02-05,3511.2832,,0.0,1.415,
1940-02-06,1783.9584,,0.0,1.555,
1940-02-07,1217.6224,,0.0,1.47,
1940-02-08,821.1872000000003,,0.0,1.335,
1940-02-09,538.0192,,0.0,1.365,
1940-02-10,453.0688,,0.0,1.28,
1940-02-11,396.4352,,0.0,1.25,
1940-02-12,339.8016,,0.0,1.415,
1940-02-13,283.168,,0.0,1.33,
1940-02-14,283.168,,0.51,1.225,
1940-02-15,311.4848,,0.0,1.305,
1940-02-16,240.6928,,0.0,1.195,
1940-02-17,212.376,,0.05,1.25,
1940-02-18,198.2176,,0.13,1.305,
1940-02-19,212.376,,0.0,1.445,
1940-02-20,198.2176,,0.0,1.555,
1940-02-21,198.2176,,0.33,1.555,
1940-02-22,240.6928,,0.51,1.5,
1940-02-23,269.0096,,0.0,1.75,
1940-02-24,226.5344,,0.0,1.78,
1940-02-25,240.6928,,1.65,1.58,
1940-02-26,906.1376,,0.0,1.525,
1940-02-27,877.8208,,0.0,1.5,
1940-02-28,509.7024,,0.03,1.44,
1940-02-29,453.0688,,0.3,1.5,
1940-03-01,396.4352,,0.0,1.445,
1940-03-02,339.8016,,0.0,1.445,
1940-03-03,339.8016,,0.0,1.58,
1940-03-04,311.4848,,0.0,1.665,
1940-03-05,269.0096,,0.0,1.72,
1940-03-06,240.6928,,0.0,1.75,
1940-03-07,212.376,,0.0,1.75,
1940-03-08,198.2176,,0.0,1.5,
1940-03-09,198.2176,,0.0,1.415,
1940-03-10,198.2176,,0.0,1.5,
1940-03-11,184.0592,,0.0,1.275,
1940-03-12,155.7424,,0.0,1.275,
1940-03-13,127.4256,,0.0,1.39,
1940-03-14,127.4256,,0.0,1.695,
1940-03-15,116.09888,,0.0,1.64,
1940-03-16,93.44544,,0.0,1.445,
1940-03-17,84.9504,,0.0,1.61,
1940-03-18,84.9504,,0.03,1.555,
1940-03-19,84.9504,,0.0,1.695,
1940-03-20,76.45536000000001,,0.0,1.61,
1940-03-21,76.45536000000001,,0.0,1.555,
1940-03-22,67.96032,,0.0,1.61,
1940-03-23,62.29696000000001,,0.0,1.58,
1940-03-24,53.801919999999996,,0.0,1.665,
1940-03-25,48.13856,,0.0,1.72,
1940-03-26,48.13856,,0.03,1.635,
1940-03-27,62.29696000000001,,0.25,1.665,
1940-03-28,53.801919999999996,,0.0,1.5,
1940-03-29,42.4752,,0.0,1.695,
1940-03-30,42.4752,,0.0,1.67,
1940-03-31,76.45536000000001,,1.78,1.5,
1940-04-01,1868.9088,,0.43,1.39,
1940-04-02,2180.3936,,0.0,1.58,
1940-04-03,962.7712,,0.0,1.445,
1940-04-04,679.6032,,0.13,1.5,
1940-04-05,509.7024,,0.0,1.555,
1940-04-06,339.8016,,0.0,1.5,
1940-04-07,311.4848,,0.0,1.555,
1940-04-08,269.0096,,0.0,1.665,
1940-04-09,226.5344,,0.05,1.69,
1940-04-10,212.376,,0.0,1.75,
1940-04-11,184.0592,,0.0,2.14,
1940-04-12,138.75232000000003,,0.0,2.305,
1940-04-13,104.77216,,0.0,2.47,
1940-04-14,93.44544,,0.0,1.78,
1940-04-15,76.45536000000001,,0.0,1.555,
1940-04-16,76.45536000000001,,0.0,1.555,
1940-04-17,76.45536000000001,,0.0,1.64,
1940-04-18,62.29696000000001,,0.0,1.75,
1940-04-19,53.801919999999996,,0.0,1.555,
1940-04-20,48.13856,,0.0,1.725,
1940-04-21,48.13856,,0.0,1.75,
1940-04-22,48.13856,,0.0,1.835,
1940-04-23,53.801919999999996,,0.0,1.69,
1940-04-24,53.801919999999996,,0.0,1.665,
1940-04-25,48.13856,,0.0,1.665,
1940-04-26,67.96032,,0.53,1.555,
1940-04-27,93.44544,,0.03,1.58,
1940-04-28,116.09888,,0.0,1.61,
1940-04-29,84.9504,,0.0,1.695,
1940-04-30,62.29696000000001,,0.0,1.835,
1940-05-01,42.4752,,0.0,1.975,
1940-05-02,31.14848000000001,,0.0,1.86,
1940-05-03,28.3168,,0.0,1.75,
1940-05-04,25.485120000000002,,0.0,1.695,
1940-05-05,25.485120000000002,,0.0,1.665,
1940-05-06,28.3168,,0.0,1.695,
1940-05-07,25.485120000000002,,0.0,1.72,
1940-05-08,25.485120000000002,,0.0,1.915,
1940-05-09,22.653440000000003,,0.0,2.055,
1940-05-10,14.1584,,0.0,1.945,
1940-05-11,14.1584,,0.0,1.89,
1940-05-12,11.326720000000002,,0.0,1.89,
1940-05-13,11.326720000000002,,0.0,1.835,
1940-05-14,11.326720000000002,,0.0,1.89,
1940-05-15,11.326720000000002,,0.0,1.92,
1940-05-16,5.663360000000001,,0.0,1.865,
1940-05-17,5.663360000000001,,0.0,1.78,
1940-05-18,8.49504,,0.0,1.78,
1940-05-19,11.326720000000002,,0.0,1.86,
1940-05-20,11.326720000000002,,0.0,1.775,
1940-05-21,14.1584,,0.0,1.805,
1940-05-22,16.99008,,0.0,1.92,
1940-05-23,11.326720000000002,,0.0,1.945,
1940-05-24,5.663360000000001,,0.0,1.865,
1940-05-25,5.663360000000001,,0.0,1.835,
1940-05-26,2.8316800000000004,,0.0,1.78,
1940-05-27,2.8316800000000004,,0.0,1.665,
1940-05-28,2.8316800000000004,,0.0,1.665,
1940-05-29,2.8316800000000004,,0.0,1.72,
1940-05-30,2.8316800000000004,,0.0,1.775,
1940-05-31,2.8316800000000004,,0.0,1.725,
1940-06-01,2.8316800000000004,,0.0,1.89,
1940-06-02,2.8316800000000004,,0.0,1.78,
1940-06-03,2.8316800000000004,,0.0,1.835,
1940-06-04,2.8316800000000004,,0.0,1.81,
1940-06-05,2.8316800000000004,,0.0,1.865,
1940-06-06,2.8316800000000004,,0.0,1.805,
1940-06-07,2.8316800000000004,,0.0,1.725,
1940-06-08,2.8316800000000004,,0.0,1.89,
1940-06-09,2.8316800000000004,,0.0,1.805,
1940-06-10,2.8316800000000004,,0.0,1.89,
1940-06-11,2.8316800000000004,,0.0,1.81,
1940-06-12,2.8316800000000004,,0.0,1.805,
1940-06-13,2.8316800000000004,,0.0,1.86,
1940-06-14,2.8316800000000004,,0.0,1.805,
1940-06-15,2.8316800000000004,,0.0,1.86,
1940-06-16,2.8316800000000004,,0.0,1.81,
1940-06-17,2.8316800000000004,,0.0,1.81,
1940-06-18,2.8316800000000004,,0.0,1.86,
1940-06-19,2.8316800000000004,,0.0,1.835,
1940-06-20,2.8316800000000004,,0.0,1.78,
1940-06-21,2.8316800000000004,,0.0,1.865,
1940-06-22,2.8316800000000004,,0.0,1.915,
1940-06-23,2.8316800000000004,,0.0,1.945,
1940-06-24,2.8316800000000004,,0.0,1.86,
1940-06-25,2.8316800000000004,,0.0,1.86,
1940-06-26,2.8316800000000004,,0.0,1.78,
1940-06-27,2.8316800000000004,,0.0,1.97,
1940-06-28,2.8316800000000004,,0.0,1.835,
1940-06-29,2.8316800000000004,,0.0,1.89,
1940-06-30,2.8316800000000004,,0.0,1.915,
1940-07-01,2.8316800000000004,,0.0,1.86,
1940-07-02,2.8316800000000004,,0.0,1.89,
1940-07-03,2.8316800000000004,,0.0,1.86,
1940-07-04,2.8316800000000004,,0.0,1.83,
1940-07-05,2.8316800000000004,,0.0,1.945,
1940-07-06,2.8316800000000004,,0.0,1.975,
1940-07-07,2.8316800000000004,,0.0,2.0,
1940-07-08,2.8316800000000004,,0.0,2.06,
1940-07-09,2.8316800000000004,,0.0,2.11,
1940-07-10,0.0,,0.0,2.335,
1940-07-11,0.0,,0.0,2.305,
1940-07-12,0.0,,0.0,2.195,
1940-07-13,0.0,,0.0,2.22,
1940-07-14,0.0,,0.0,2.11,
1940-07-15,0.0,,0.0,1.945,
1940-07-16,0.0,,0.0,1.89,
1940-07-17,0.0,,0.0,1.97,
1940-07-18,0.0,,0.0,1.915,
1940-07-19,0.0,,0.0,1.92,
1940-07-20,0.0,,0.0,1.805,
1940-07-21,0.0,,0.0,1.885,
1940-07-22,0.0,,0.0,1.945,
1940-07-23,0.0,,0.0,2.085,
1940-07-24,0.0,,0.0,2.28,
1940-07-25,0.0,,0.0,2.14,
1940-07-26,0.0,,0.0,2.055,
1940-07-27,0.0,,0.0,1.945,
1940-07-28,0.0,,0.0,2.055,
1940-07-29,0.0,,0.0,2.055,
1940-07-30,0.0,,0.0,2.055,
1940-07-31,0.0,,0.0,2.055,
1940-08-01,2.8316800000000004,,0.0,2.055,
1940-08-02,2.8316800000000004,,0.0,2.055,
1940-08-03,2.8316800000000004,,0.0,2.14,
1940-08-04,2.8316800000000004,,0.0,2.055,
1940-08-05,2.8316800000000004,,0.0,2.085,
1940-08-06,2.8316800000000004,,0.0,2.085,
1940-08-07,0.0,,0.0,2.165,
1940-08-08,0.0,,0.0,2.19,
1940-08-09,0.0,,0.0,2.14,
1940-08-10,0.0,,0.0,2.195,
1940-08-11,0.0,,0.0,2.17,
1940-08-12,0.0,,0.0,2.11,
1940-08-13,0.0,,0.0,2.085,
1940-08-14,0.0,,0.0,1.945,
1940-08-15,0.0,,0.0,2.085,
1940-08-16,0.0,,0.0,2.055,
1940-08-17,0.0,,0.0,2.055,
1940-08-18,0.0,,0.0,2.115,
1940-08-19,0.0,,0.0,2.195,
1940-08-20,0.0,,0.0,2.03,
1940-08-21,0.0,,0.0,2.0,
1940-08-22,0.0,,0.0,1.975,
1940-08-23,0.0,,0.0,1.945,
1940-08-24,0.0,,0.0,2.0,
1940-08-25,0.0,,0.0,1.89,
1940-08-26,0.0,,0.0,1.915,
1940-08-27,0.0,,0.0,2.03,
1940-08-28,0.0,,0.0,2.0,
1940-08-29,0.0,,0.0,1.97,
1940-08-30,0.0,,0.0,2.025,
1940-08-31,0.0,,0.0,2.14,
1940-09-01,2.8316800000000004,,0.0,2.03,
1940-09-02,2.8316800000000004,,0.0,1.915,
1940-09-03,2.8316800000000004,,0.03,2.055,
1940-09-04,2.8316800000000004,,0.0,1.945,
1940-09-05,2.8316800000000004,,0.0,1.89,
1940-09-06,2.8316800000000004,,0.0,1.89,
1940-09-07,2.8316800000000004,,0.0,2.0,
1940-09-08,2.8316800000000004,,0.0,2.115,
1940-09-09,2.8316800000000004,,0.0,2.085,
1940-09-10,0.0,,0.0,2.03,
1940-09-11,0.0,,0.0,2.025,
1940-09-12,0.0,,0.0,2.0,
1940-09-13,0.0,,0.0,2.025,
1940-09-14,0.0,,0.0,1.94,
1940-09-15,0.0,,0.0,2.055,
1940-09-16,0.0,,0.0,1.94,
1940-09-17,0.0,,0.08,2.165,
1940-09-18,0.0,,0.0,2.085,
1940-09-19,0.0,,0.0,2.08,
1940-09-20,0.0,,0.0,1.975,
1940-09-21,0.0,,0.0,1.945,
1940-09-22,0.0,,0.0,1.97,
1940-09-23,0.0,,0.0,2.03,
1940-09-24,0.0,,0.0,2.0,
1940-09-25,0.0,,0.0,1.945,
1940-09-26,0.0,,0.1,2.61,
1940-09-27,0.0,,0.0,2.385,
1940-09-28,0.0,,0.0,2.085,
1940-09-29,0.0,,0.0,2.055,
1940-09-30,0.0,,0.0,1.915,
1940-10-01,2.8316800000000004,,0.0,1.975,
1940-10-02,2.8316800000000004,,0.0,2.0,
1940-10-03,2.8316800000000004,,0.0,1.83,
1940-10-04,2.8316800000000004,,0.0,1.97,
1940-10-05,2.8316800000000004,,0.0,1.92,
1940-10-06,2.8316800000000004,,0.0,1.805,
1940-10-07,2.8316800000000004,,0.0,1.945,
1940-10-08,2.8316800000000004,,0.05,1.945,
1940-10-09,2.8316800000000004,,0.0,1.89,
1940-10-10,2.8316800000000004,,0.0,1.945,
1940-10-11,2.8316800000000004,,0.0,2.11,
1940-10-12,2.8316800000000004,,0.0,2.25,
1940-10-13,2.8316800000000004,,0.0,1.975,
1940-10-14,2.8316800000000004,,0.0,1.89,
1940-10-15,2.8316800000000004,,0.0,1.945,
1940-10-16,2.8316800000000004,,0.0,2.025,
1940-10-17,2.8316800000000004,,0.0,2.025,
1940-10-18,2.8316800000000004,,0.0,2.475,
1940-10-19,2.8316800000000004,,0.0,2.445,
1940-10-20,2.8316800000000004,,0.0,1.89,
1940-10-21,2.8316800000000004,,0.0,1.915,
1940-10-22,2.8316800000000004,,0.0,1.915,
1940-10-23,2.8316800000000004,,0.0,1.86,
1940-10-24,8.49504,,0.0,1.89,
1940-10-25,11.326720000000002,,2.03,1.805,
1940-10-26,33.98016,,0.74,1.665,
1940-10-27,39.64352,,0.99,1.64,
1940-10-28,11.326720000000002,,0.0,1.47,
1940-10-29,8.49504,,0.0,1.56,
1940-10-30,5.663360000000001,,0.0,1.61,
1940-10-31,5.663360000000001,,0.0,1.775,
1940-11-01,5.663360000000001,,0.0,1.775,
1940-11-02,5.663360000000001,,0.0,1.72,
1940-11-03,5.663360000000001,,0.0,1.695,
1940-11-04,5.663360000000001,,0.0,1.53,
1940-11-05,5.663360000000001,,0.0,1.47,
1940-11-06,5.663360000000001,,0.0,1.555,
1940-11-07,5.663360000000001,,0.0,1.585,
1940-11-08,5.663360000000001,,0.0,1.835,
1940-11-09,5.663360000000001,,0.0,1.635,
1940-11-10,5.663360000000001,,0.0,1.555,
1940-11-11,5.663360000000001,,0.0,1.5,
1940-11-12,5.663360000000001,,0.0,1.665,
1940-11-13,5.663360000000001,,0.0,1.975,
1940-11-14,2.8316800000000004,,0.0,1.89,
1940-11-15,2.8316800000000004,,0.0,2.17,
1940-11-16,2.8316800000000004,,0.0,1.945,
1940-11-17,5.663360000000001,,0.69,1.585,
1940-11-18,25.485120000000002,,0.56,1.695,
1940-11-19,11.326720000000002,,0.0,1.555,
1940-11-20,8.49504,,0.0,1.335,
1940-11-21,5.663360000000001,,0.0,1.25,
1940-11-22,5.663360000000001,,0.0,1.415,
1940-11-23,5.663360000000001,,0.0,1.28,
1940-11-24,5.663360000000001,,0.0,1.335,
1940-11-25,5.663360000000001,,0.0,1.47,
1940-11-26,5.663360000000001,,0.0,1.555,
1940-11-27,5.663360000000001,,0.0,1.555,
1940-11-28,5.663360000000001,,0.0,1.665,
1940-11-29,5.663360000000001,,0.0,1.75,
1940-11-30,5.663360000000001,,0.0,1.555,
1940-12-01,5.663360000000001,,0.0,1.53,
1940-12-02,5.663360000000001,,0.0,1.805,
1940-12-03,5.663360000000001,,0.0,2.0,
1940-12-04,5.663360000000001,,0.0,1.945,
1940-12-05,2.8316800000000004,,0.0,1.78,
1940-12-06,5.663360000000001,,0.0,1.585,
1940-12-07,2.8316800000000004,,0.0,1.75,
1940-12-08,2.8316800000000004,,0.0,1.5,
1940-12-09,5.663360000000001,,0.03,1.805,
1940-12-10,5.663360000000001,,0.23,1.615,
1940-12-11,5.663360000000001,,0.0,1.61,
1940-12-12,5.663360000000001,,0.05,1.5,
1940-12-13,5.663360000000001,,0.0,1.445,
1940-12-14,5.663360000000001,,0.0,1.585,
1940-12-15,2.8316800000000004,,0.0,1.555,
1940-12-16,8.49504,,0.76,1.61,
1940-12-17,28.3168,,2.72,1.725,
