param#0 	 param#1 	 dist 	  wgt 
0.780974 	0.157487 	1.422272 	0.010000 	
0.792413 	0.133534 	5.568212 	0.010000 	
0.849216 	0.170247 	1.388097 	0.010000 	
0.724423 	0.166071 	5.939969 	0.010000 	
0.896454 	0.140619 	0.755846 	0.010000 	
0.828068 	0.115578 	1.128387 	0.010000 	
0.841889 	0.143336 	1.525171 	0.010000 	
0.730620 	0.188076 	1.913873 	0.010000 	
0.739120 	0.158127 	3.679524 	0.010000 	
0.857667 	0.124910 	1.065380 	0.010000 	
0.747379 	0.183653 	2.789296 	0.010000 	
0.850786 	0.138373 	1.026997 	0.010000 	
0.849994 	0.178964 	1.028384 	0.010000 	
0.694808 	0.114853 	1.590765 	0.010000 	
0.700060 	0.140175 	1.680908 	0.010000 	
0.898184 	0.164757 	0.744102 	0.010000 	
0.850726 	0.105954 	0.754138 	0.010000 	
0.927793 	0.174740 	0.974284 	0.010000 	
0.823104 	0.165772 	1.940304 	0.010000 	
0.842604 	0.136601 	0.949124 	0.010000 	
0.697823 	0.126304 	2.098050 	0.010000 	
0.867003 	0.141437 	1.084284 	0.010000 	
0.732060 	0.152853 	4.679325 	0.010000 	
0.865410 	0.150125 	1.044845 	0.010000 	
0.680493 	0.107952 	1.908340 	0.010000 	
0.699421 	0.176653 	2.370900 	0.010000 	
0.865394 	0.132813 	0.745135 	0.010000 	
0.752082 	0.174826 	1.785163 	0.010000 	
0.739999 	0.114113 	1.270714 	0.010000 	
0.953031 	0.171462 	0.722620 	0.010000 	
0.843154 	0.132507 	1.150513 	0.010000 	
0.750420 	0.193435 	47.983106 	0.010000 	
0.955552 	0.141293 	0.575363 	0.010000 	
0.889277 	0.181865 	1.632688 	0.010000 	
0.773788 	0.148418 	3.669028 	0.010000 	
0.751042 	0.107630 	1.687744 	0.010000 	
0.830638 	0.106752 	1.074498 	0.010000 	
0.737046 	0.160409 	1.826368 	0.010000 	
0.815972 	0.187978 	2.559891 	0.010000 	
0.954892 	0.108241 	0.434275 	0.010000 	
0.764301 	0.189907 	2.530280 	0.010000 	
0.906828 	0.109572 	0.724742 	0.010000 	
