param#0 	 param#1 	 dist 	  wgt 
0.088209 	0.164292 	0.549902 	0.010000 	
0.086101 	0.147425 	0.600173 	0.010000 	
0.077228 	0.120373 	0.581768 	0.010000 	
0.075867 	0.128705 	0.702203 	0.010000 	
0.087790 	0.160082 	0.643344 	0.010000 	
0.080949 	0.131816 	0.632697 	0.010000 	
0.086190 	0.154424 	0.617776 	0.010000 	
0.094640 	0.170756 	0.661739 	0.010000 	
0.098572 	0.174231 	0.600655 	0.010000 	
0.095331 	0.172527 	0.589201 	0.010000 	
0.098692 	0.160976 	0.593854 	0.010000 	
0.100821 	0.124285 	0.484317 	0.010000 	
0.075957 	0.182305 	0.792781 	0.010000 	
0.084087 	0.120408 	0.575247 	0.010000 	
0.099557 	0.166257 	0.750797 	0.010000 	
0.078999 	0.111716 	0.632262 	0.010000 	
0.079238 	0.121106 	0.665252 	0.010000 	
0.097334 	0.106798 	0.471632 	0.010000 	
0.082039 	0.193154 	0.686570 	0.010000 	
0.104607 	0.125797 	0.514409 	0.010000 	
0.074221 	0.176644 	0.804251 	0.010000 	
0.080577 	0.177513 	0.747955 	0.010000 	
0.094253 	0.122866 	0.510931 	0.010000 	
0.089589 	0.182910 	0.659111 	0.010000 	
0.080568 	0.120031 	0.544634 	0.010000 	
0.101766 	0.181406 	0.783863 	0.010000 	
0.087352 	0.107519 	0.494026 	0.010000 	
0.101260 	0.163054 	0.655305 	0.010000 	
0.087023 	0.145035 	0.617679 	0.010000 	
0.091440 	0.113138 	0.438219 	0.010000 	
0.089235 	0.129102 	0.505225 	0.010000 	
0.090646 	0.110370 	0.471572 	0.010000 	
0.077732 	0.139894 	0.681562 	0.010000 	
0.087438 	0.159337 	0.582685 	0.010000 	
0.095517 	0.113563 	0.449609 	0.010000 	
0.083722 	0.108838 	0.570755 	0.010000 	
0.080313 	0.126071 	0.599032 	0.010000 	
0.097630 	0.153274 	0.525966 	0.010000 	
0.102750 	0.127586 	0.519150 	0.010000 	
