param#0 	 param#1 	 dist 	  wgt 
6.490168 	1.313381 	3.648444 	0.010000 	
6.713613 	1.252273 	0.927332 	0.010000 	
6.396750 	1.827058 	6.511770 	0.010000 	
6.490935 	1.762319 	7.615293 	0.010000 	
6.348926 	1.203616 	0.894750 	0.010000 	
6.300851 	1.853797 	6.470533 	0.010000 	
6.946633 	1.148391 	3.233710 	0.010000 	
6.867472 	1.702404 	1.646190 	0.010000 	
6.707465 	1.641779 	1.880185 	0.010000 	
6.687576 	1.193665 	1.030801 	0.010000 	
6.509296 	1.181305 	1.401643 	0.010000 	
6.902029 	1.747064 	5.641154 	0.010000 	
6.955324 	1.634784 	1.521039 	0.010000 	
6.813340 	1.390542 	2.423508 	0.010000 	
6.527327 	1.498670 	3.464598 	0.010000 	
6.665650 	1.858498 	2.520845 	0.010000 	
6.539444 	1.260910 	2.819637 	0.010000 	
6.731949 	1.748521 	4.373412 	0.010000 	
6.504209 	1.597930 	0.806176 	0.010000 	
6.773171 	1.346360 	1.521187 	0.010000 	
6.819698 	1.707728 	21.278072 	0.010000 	
6.627056 	1.160220 	1.029529 	0.010000 	
6.413740 	1.432436 	1.992300 	0.010000 	
6.692609 	1.755537 	52.549451 	0.010000 	
6.612165 	1.327008 	1.662611 	0.010000 	
6.772833 	1.483109 	24.328333 	0.010000 	
6.812872 	1.490294 	4.906314 	0.010000 	
6.517747 	1.652395 	2.548761 	0.010000 	
6.681744 	1.190862 	0.653712 	0.010000 	
6.340541 	1.373871 	1.196644 	0.010000 	
6.640771 	1.763159 	42.941555 	0.010000 	
6.719441 	1.366644 	27.901407 	0.010000 	
6.848736 	1.596284 	1.461071 	0.010000 	
6.327520 	1.801353 	4.406873 	0.010000 	
6.772529 	1.750888 	1.140777 	0.010000 	
6.896264 	1.627728 	3.012990 	0.010000 	
6.549818 	1.212156 	1.072146 	0.010000 	
6.589042 	1.249747 	6.060110 	0.010000 	
6.421432 	1.754965 	1.630025 	0.010000 	
6.600073 	1.513241 	1.625573 	0.010000 	
6.953402 	1.719429 	2.364869 	0.010000 	
6.728027 	1.565822 	15.889142 	0.010000 	
6.444193 	1.755968 	1.872855 	0.010000 	
6.969890 	1.411876 	4.094282 	0.010000 	
6.611869 	1.771166 	75.504100 	0.010000 	
6.409726 	1.300389 	3.925348 	0.010000 	
6.394961 	1.380999 	2.142134 	0.010000 	
6.846801 	1.316557 	7.309594 	0.010000 	
6.745008 	1.584478 	6.527181 	0.010000 	
6.953197 	1.755180 	3.332040 	0.010000 	
6.426750 	1.723796 	1.937655 	0.010000 	
6.872173 	1.569727 	3.649533 	0.010000 	
6.505902 	1.377589 	1.215368 	0.010000 	
6.541132 	1.508993 	1.670964 	0.010000 	
6.781175 	1.490703 	1.917829 	0.010000 	
6.903652 	1.242859 	2.067716 	0.010000 	
6.651713 	1.183711 	1.969104 	0.010000 	
6.738930 	1.630006 	1.953705 	0.010000 	
6.896423 	1.571287 	1.791174 	0.010000 	
6.369291 	1.711815 	4.167264 	0.010000 	
6.809521 	1.734323 	1.209760 	0.010000 	
6.661776 	1.543987 	1.335840 	0.010000 	
6.574400 	1.363547 	1.455069 	0.010000 	
6.416829 	1.624702 	6.331734 	0.010000 	
6.448666 	1.688019 	4.451925 	0.010000 	
6.564521 	1.824697 	5.672473 	0.010000 	
6.561335 	1.367659 	1.115112 	0.010000 	
6.735075 	1.703093 	0.976355 	0.010000 	
6.382315 	1.527470 	1.576734 	0.010000 	
6.496833 	1.608979 	3.485803 	0.010000 	
6.681155 	1.671749 	2.342354 	0.010000 	
6.320005 	1.361581 	1.333955 	0.010000 	
6.925525 	1.552545 	1.201511 	0.010000 	
6.405873 	1.227724 	1.056544 	0.010000 	
6.449894 	1.244360 	1.289254 	0.010000 	
6.443455 	1.276320 	1.427321 	0.010000 	
6.448649 	1.438252 	3.607046 	0.010000 	
6.527014 	1.372229 	12.545040 	0.010000 	
6.686454 	1.436267 	4.297288 	0.010000 	
6.486782 	1.627606 	13.052181 	0.010000 	
6.365538 	1.605585 	1.379618 	0.010000 	
6.976779 	1.697282 	21.158643 	0.010000 	
6.402166 	1.830771 	1.806118 	0.010000 	
6.820357 	1.449674 	2.051211 	0.010000 	
6.851204 	1.218228 	0.899747 	0.010000 	
6.321730 	1.328506 	1.301405 	0.010000 	
6.570617 	1.700962 	1.988536 	0.010000 	
6.355168 	1.585475 	1.263594 	0.010000 	
6.580076 	1.615296 	2.448540 	0.010000 	
6.776358 	1.621566 	3.923892 	0.010000 	
6.831936 	1.179170 	1.639301 	0.010000 	
6.915207 	1.505281 	1.456436 	0.010000 	
6.727563 	1.831458 	5.977408 	0.010000 	
6.684557 	1.288200 	1.365182 	0.010000 	
6.648887 	1.819951 	3.256898 	0.010000 	
6.521736 	1.216195 	1.290824 	0.010000 	
6.701951 	1.308922 	2.869511 	0.010000 	
6.666673 	1.485442 	6.804351 	0.010000 	
6.799157 	1.545177 	3.675833 	0.010000 	
6.747114 	1.789523 	5.793303 	0.010000 	
6.373135 	0.836797 	0.652478 	0.000000 	
7.056890 	1.213156 	0.889362 	0.000000 	
6.409597 	1.731818 	1.139369 	0.019641 	
7.126847 	1.732350 	2.083954 	0.000000 	
6.909851 	1.189679 	0.705295 	0.028071 	
6.427862 	1.291867 	0.858518 	0.019103 	
7.065476 	1.518000 	3.445459 	0.000000 	
7.053107 	1.857804 	1.568188 	0.000000 	
6.532758 	1.038919 	0.769322 	0.000000 	
6.423973 	1.522910 	1.566775 	0.016272 	
6.691929 	1.410830 	1.092001 	0.014084 	
6.857565 	1.237265 	1.832530 	0.022301 	
6.129860 	1.118117 	0.988112 	0.000000 	
6.144662 	1.654010 	1.286590 	0.000000 	
6.541839 	1.423351 	1.139583 	0.014297 	
6.735291 	1.672307 	3.803705 	0.014899 	
6.184800 	1.489817 	1.413839 	0.000000 	
7.149693 	1.662716 	1.913234 	0.000000 	
6.351686 	1.268310 	0.881083 	0.023400 	
6.485560 	1.559317 	3.483943 	0.014830 	
6.509448 	1.620559 	1.100850 	0.014844 	
7.137582 	1.656133 	3.538981 	0.000000 	
5.937092 	0.898336 	0.656948 	0.000000 	
6.110592 	1.426252 	1.673006 	0.000000 	
6.387904 	1.745090 	2.938010 	0.020989 	
6.527177 	1.295990 	1.169381 	0.016603 	
5.875602 	1.365749 	2.118285 	0.000000 	
6.831187 	1.721871 	2.895019 	0.017734 	
