param#0 	 param#1 	 dist 	  wgt 
0.094314 	0.172863 	0.624966 	0.010000 	
0.096194 	0.159480 	0.657273 	0.010000 	
0.102771 	0.158422 	0.587864 	0.010000 	
0.094712 	0.123472 	0.528407 	0.010000 	
0.097324 	0.134164 	0.474481 	0.010000 	
0.097411 	0.187451 	0.550235 	0.010000 	
0.094271 	0.160739 	0.624898 	0.010000 	
0.094840 	0.123252 	0.471121 	0.010000 	
0.094582 	0.128768 	0.502238 	0.010000 	
0.098236 	0.150817 	0.534799 	0.010000 	
0.098810 	0.133832 	0.483611 	0.010000 	
0.099452 	0.154722 	0.568829 	0.010000 	
0.104583 	0.183726 	0.827759 	0.010000 	
0.098092 	0.192048 	0.735425 	0.010000 	
0.097188 	0.136165 	0.532342 	0.010000 	
0.096703 	0.130653 	0.513448 	0.010000 	
0.104566 	0.140710 	0.697272 	0.010000 	
0.098640 	0.127706 	0.553651 	0.010000 	
0.095984 	0.185607 	0.709858 	0.010000 	
0.100848 	0.147282 	0.651041 	0.010000 	
0.102727 	0.193366 	0.801060 	0.010000 	
0.100787 	0.179409 	0.671461 	0.010000 	
0.100883 	0.158097 	0.698952 	0.010000 	
0.097581 	0.194973 	0.668065 	0.010000 	
0.102834 	0.163660 	0.664338 	0.010000 	
0.101578 	0.154358 	0.621295 	0.010000 	
0.098184 	0.157260 	0.572495 	0.010000 	
0.103599 	0.133090 	0.469159 	0.010000 	
0.096547 	0.126806 	0.566319 	0.010000 	
0.097273 	0.137668 	0.487883 	0.010000 	
0.097359 	0.128412 	0.460946 	0.010000 	
0.102185 	0.133611 	0.526759 	0.010000 	
0.102380 	0.174794 	0.635462 	0.010000 	
0.096360 	0.144757 	0.488819 	0.010000 	
0.098755 	0.150323 	0.653855 	0.010000 	
0.094691 	0.132893 	0.556458 	0.010000 	
0.098260 	0.189117 	0.768817 	0.010000 	
0.103413 	0.177579 	0.602856 	0.010000 	
0.094791 	0.148485 	0.579233 	0.010000 	
0.104448 	0.167292 	0.622547 	0.010000 	
0.094952 	0.189056 	0.701536 	0.010000 	
0.102951 	0.141026 	0.629129 	0.010000 	
0.099450 	0.137833 	0.507603 	0.010000 	
0.102023 	0.172716 	0.806425 	0.010000 	
0.103044 	0.188451 	0.728296 	0.010000 	
0.100185 	0.172264 	0.645469 	0.010000 	
0.097149 	0.185683 	0.665926 	0.010000 	
0.095548 	0.142369 	0.563658 	0.010000 	
0.103749 	0.178907 	0.756932 	0.010000 	
0.101679 	0.164737 	0.571017 	0.010000 	
0.098237 	0.134041 	0.543470 	0.010000 	
0.097485 	0.191199 	0.570675 	0.010000 	
0.100349 	0.150980 	0.598993 	0.010000 	
0.098088 	0.141774 	0.582111 	0.010000 	
0.098086 	0.147860 	0.527152 	0.010000 	
0.103040 	0.135032 	0.560622 	0.010000 	
0.101630 	0.193829 	0.850105 	0.010000 	
0.098172 	0.179575 	0.630912 	0.010000 	
0.097358 	0.151114 	0.534271 	0.010000 	
0.095226 	0.156022 	0.542747 	0.010000 	
0.099234 	0.132479 	0.479903 	0.010000 	
0.097091 	0.182005 	0.648782 	0.010000 	
0.097231 	0.189149 	0.643878 	0.010000 	
0.104357 	0.177762 	0.700508 	0.010000 	
0.095854 	0.129117 	0.484778 	0.010000 	
0.095462 	0.123437 	0.484385 	0.010000 	
0.101492 	0.158813 	0.585936 	0.010000 	
0.098139 	0.152138 	0.519587 	0.010000 	
0.096586 	0.194449 	0.669457 	0.010000 	
0.098234 	0.146812 	0.593495 	0.010000 	
0.094691 	0.146294 	0.514158 	0.010000 	
0.096762 	0.190701 	0.863416 	0.010000 	
0.098427 	0.125718 	0.489646 	0.010000 	
0.103902 	0.183276 	0.680029 	0.010000 	
0.100786 	0.158225 	0.599600 	0.010000 	
0.096490 	0.129259 	0.501338 	0.010000 	
0.103794 	0.147693 	0.614880 	0.010000 	
0.096341 	0.174728 	0.666715 	0.010000 	
0.101216 	0.126243 	0.560420 	0.010000 	
0.103194 	0.162602 	0.589761 	0.010000 	
0.102105 	0.120559 	0.544318 	0.010000 	
0.094478 	0.154586 	0.598509 	0.010000 	
0.094635 	0.122672 	0.509651 	0.010000 	
0.100769 	0.149877 	0.576767 	0.010000 	
0.102053 	0.178999 	0.607498 	0.010000 	
0.097300 	0.160627 	0.663551 	0.010000 	
0.101978 	0.176932 	0.612807 	0.010000 	
0.096297 	0.156777 	0.535158 	0.010000 	
0.102106 	0.159540 	0.563742 	0.010000 	
0.095259 	0.187183 	0.645756 	0.010000 	
0.103969 	0.147191 	0.555493 	0.010000 	
0.097161 	0.142688 	0.497816 	0.010000 	
0.095294 	0.126447 	0.475900 	0.010000 	
0.098718 	0.184050 	0.675701 	0.010000 	
0.101709 	0.157375 	0.655383 	0.010000 	
0.100420 	0.163830 	0.639789 	0.010000 	
0.096762 	0.120255 	0.423453 	0.010000 	
0.099448 	0.167997 	0.664967 	0.010000 	
0.101953 	0.180314 	0.694612 	0.010000 	
0.104658 	0.153716 	0.544648 	0.010000 	
0.101271 	0.134932 	0.546474 	0.023291 	
0.104904 	0.209914 	0.818006 	0.000000 	
0.093278 	0.162751 	0.650135 	0.000000 	
0.100472 	0.155865 	0.582636 	0.018874 	
0.104417 	0.203841 	0.781415 	0.000000 	
0.104326 	0.104393 	0.497420 	0.000000 	
0.097419 	0.126821 	0.423262 	0.024200 	
0.112234 	0.196018 	0.889173 	0.000000 	
0.093813 	0.145792 	0.600981 	0.000000 	
0.098100 	0.152689 	0.541180 	0.018612 	
0.093995 	0.115078 	0.466537 	0.000000 	
0.096624 	0.119544 	0.556601 	0.000000 	
0.096938 	0.208955 	0.761453 	0.000000 	
0.090155 	0.207759 	0.725328 	0.000000 	
0.103813 	0.152671 	0.595943 	0.026314 	
0.094351 	0.165681 	0.575322 	0.027903 	
0.090975 	0.180169 	0.583842 	0.000000 	
0.098316 	0.175243 	0.770372 	0.020880 	
0.105396 	0.180379 	0.695251 	0.000000 	
0.091435 	0.068256 	0.396334 	0.000000 	
0.095276 	0.156584 	0.538094 	0.023236 	
0.091907 	0.195464 	0.625552 	0.000000 	
