param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.304430 	-0.219006 	2.095881 	0.197489 	2.229670 	3.551779 	-0.707523 	-0.035631 	1.320827 	0.000000 	
0.584977 	-0.008659 	1.069532 	0.288966 	1.148502 	1.504267 	0.849383 	-0.036076 	3.460685 	0.000000 	
0.539431 	0.014432 	1.407116 	0.126309 	2.372039 	3.485847 	0.277497 	0.021168 	2.493048 	0.000000 	
0.465041 	-0.115843 	2.159614 	0.223107 	1.809099 	2.734096 	1.329778 	-0.057836 	2.065521 	0.000000 	
0.937562 	0.279801 	1.234858 	-0.019369 	1.756092 	4.185757 	0.434657 	0.092979 	2.002079 	0.000000 	
1.655594 	-0.229571 	1.521405 	0.015483 	0.704053 	3.961848 	1.057327 	0.007103 	1.022216 	0.000000 	
0.802575 	-0.263613 	2.185981 	-0.145805 	0.241629 	3.158629 	0.795433 	-0.034107 	3.194838 	0.000000 	
0.942809 	0.133075 	0.402708 	0.161608 	0.132597 	2.281111 	-0.370683 	0.114825 	2.176661 	0.000000 	
0.064941 	0.187231 	1.810035 	0.233899 	1.393326 	4.500134 	0.430638 	-0.037896 	1.023426 	0.000000 	
-0.220420 	0.139923 	1.426375 	0.284244 	2.137533 	2.773574 	0.413703 	0.145636 	5.051977 	0.000000 	
0.688286 	0.563685 	1.694318 	0.035162 	0.191908 	3.242799 	0.954571 	-0.062253 	1.139978 	0.000000 	
0.333926 	0.284817 	1.659617 	0.313737 	0.236190 	3.243590 	-0.623120 	0.188183 	1.004596 	0.000000 	
-0.039883 	0.092137 	1.006448 	0.123527 	1.869419 	5.238761 	0.416130 	0.094855 	1.238499 	0.000000 	
-0.408894 	-0.506087 	1.632467 	0.114738 	1.728326 	4.369435 	-0.698476 	0.035001 	1.978844 	0.000000 	
0.237608 	-0.307113 	1.375100 	0.255366 	2.488202 	3.211358 	1.066078 	0.154714 	1.229243 	0.000000 	
0.154854 	-0.082342 	1.865508 	-0.001035 	1.317435 	4.111728 	0.795749 	0.028698 	1.131043 	0.000000 	
-0.165745 	1.121375 	1.238645 	0.005479 	1.429218 	3.818579 	0.108859 	0.058668 	3.098920 	0.000000 	
0.100171 	-0.170605 	1.125942 	0.088246 	0.323919 	4.019855 	0.084432 	0.069475 	1.079693 	0.000000 	
0.404320 	0.210285 	1.621793 	0.137869 	1.028505 	3.102983 	0.446981 	0.194032 	1.733339 	0.529269 	
0.156147 	0.096711 	0.935499 	0.042772 	1.611363 	2.576097 	1.255781 	-0.058759 	1.036481 	0.000000 	
-0.187405 	0.247361 	1.421309 	0.189556 	1.055808 	4.543740 	0.894182 	0.101814 	1.869579 	0.000000 	
-0.223498 	-0.125277 	1.404822 	0.009083 	2.114448 	3.753106 	-0.402145 	0.251225 	1.137513 	0.000000 	
-0.232761 	0.037430 	2.079075 	0.166150 	1.974749 	3.421716 	0.420078 	-0.044293 	2.440708 	0.000000 	
0.428321 	0.031340 	2.048754 	0.127556 	2.532774 	3.825594 	0.670035 	0.071037 	1.669629 	0.000000 	
0.028144 	0.317131 	1.226980 	0.185038 	2.388960 	3.688991 	0.810139 	0.193885 	1.082431 	0.000000 	
-0.413084 	0.873072 	1.035320 	0.008507 	0.667100 	5.960375 	0.018528 	-0.083728 	2.210493 	0.000000 	
0.083555 	-0.354272 	1.718804 	0.003185 	0.800521 	3.748126 	1.364487 	0.071761 	1.126441 	0.000000 	
0.426986 	-0.111803 	2.057693 	0.378098 	2.100332 	3.488321 	0.153394 	-0.089070 	3.309610 	0.000000 	
-0.507202 	-0.122648 	1.621037 	-0.053170 	1.532034 	5.050470 	0.373075 	0.220046 	1.049738 	0.000000 	
0.422112 	1.083132 	2.061592 	0.012979 	0.227680 	3.755577 	0.483734 	0.115185 	1.051498 	0.000000 	
0.144360 	-0.316188 	0.663118 	0.014100 	0.603729 	3.397584 	0.939359 	0.008106 	1.108447 	0.000000 	
0.554365 	-0.157913 	1.262477 	0.263253 	1.163460 	3.943941 	1.024546 	-0.109124 	4.783193 	0.000000 	
0.840163 	-0.883978 	1.040982 	0.160489 	1.714197 	2.999654 	-0.040606 	0.097891 	1.093442 	0.000000 	
0.883948 	0.404871 	1.464771 	0.036996 	0.998919 	4.113700 	0.772016 	0.243324 	1.281823 	0.000000 	
0.564643 	0.173618 	2.129577 	0.054493 	0.089070 	4.140194 	0.046127 	-0.193045 	1.125374 	0.000000 	
0.348699 	0.186282 	1.385542 	0.210755 	0.996113 	2.599581 	0.654964 	0.026237 	1.509467 	0.000000 	
0.177378 	0.657401 	1.673532 	0.041391 	1.703832 	4.168619 	1.197881 	0.096152 	1.311475 	0.000000 	
0.085154 	-0.309094 	0.843479 	0.200832 	2.279141 	3.087451 	0.185242 	0.128850 	1.054397 	0.000000 	
1.264916 	-0.004879 	1.516184 	0.088557 	0.687531 	4.708472 	0.304812 	0.080464 	1.707052 	0.000000 	
0.425082 	-0.008766 	0.680196 	0.184047 	0.692736 	3.953365 	0.744796 	-0.029327 	1.383456 	0.000000 	
-0.057984 	0.922056 	1.062863 	0.109433 	2.191135 	2.901887 	-0.377353 	0.093567 	1.652163 	0.000000 	
-1.049069 	0.469128 	1.969725 	0.022858 	0.434273 	3.055975 	-0.472477 	0.109876 	4.276873 	0.000000 	
0.404620 	-0.574113 	1.480983 	0.349711 	2.392158 	4.215555 	0.530674 	0.037047 	1.914449 	0.000000 	
0.923129 	-0.571843 	1.759823 	0.292960 	1.788871 	3.488176 	0.640862 	0.148594 	3.984734 	0.000000 	
0.913561 	-0.854776 	1.472645 	0.282171 	0.887999 	3.691916 	-1.456067 	0.070903 	1.898195 	0.000000 	
1.456178 	-0.254014 	1.736973 	-0.098718 	0.157120 	4.073618 	0.769212 	0.041342 	3.379526 	0.000000 	
0.022356 	0.838682 	2.111690 	-0.022943 	0.654934 	4.651884 	1.249142 	0.051650 	2.200118 	0.000000 	
0.032590 	0.122877 	1.561634 	0.159253 	1.058519 	3.536970 	0.512972 	0.079403 	1.088900 	0.470731 	
-0.003990 	0.176702 	0.729719 	0.246190 	0.526624 	3.143838 	0.511522 	0.173923 	1.136380 	0.000000 	
0.307317 	0.182814 	1.511400 	0.123224 	1.080747 	3.521712 	0.525985 	-0.068078 	1.093583 	0.000000 	
0.007971 	0.030040 	1.562174 	0.134269 	1.066237 	3.420990 	0.483850 	0.017691 	1.116842 	0.008674 	
0.590962 	0.105148 	1.645814 	0.137657 	1.067656 	3.228193 	0.466921 	-0.109332 	1.844858 	0.000000 	
0.354966 	0.202086 	1.591323 	0.201993 	1.048235 	3.490341 	0.549556 	0.012584 	1.671045 	0.015789 	
0.171847 	0.164139 	1.579556 	0.175962 	1.055667 	3.626369 	0.444439 	0.001155 	1.045455 	0.007726 	
0.036554 	0.115312 	1.693837 	0.151214 	1.020428 	3.607714 	0.540808 	-0.029050 	1.068854 	0.000000 	
-0.099150 	0.031046 	1.626992 	0.160308 	1.011300 	3.463287 	0.527432 	0.157811 	1.486351 	0.000000 	
0.748923 	0.229445 	1.539784 	0.102013 	1.000975 	3.677845 	0.447601 	0.209580 	1.268163 	0.041846 	
0.103233 	-0.043040 	1.530351 	0.172680 	1.049376 	3.930820 	0.432413 	0.113628 	1.044569 	0.000000 	
0.467851 	-0.036232 	1.578667 	0.185718 	1.042754 	3.351821 	0.504445 	0.021750 	1.947521 	0.000000 	
0.092995 	0.291396 	1.668442 	0.183635 	1.014841 	3.212245 	0.486760 	0.097692 	1.039263 	0.014172 	
-0.321858 	0.008826 	1.570507 	0.137375 	1.032502 	3.615285 	0.609174 	0.192153 	1.494647 	0.000000 	
0.406099 	0.290883 	1.581653 	0.150704 	0.979595 	3.443460 	0.398020 	0.073486 	1.492315 	0.017083 	
0.627266 	0.174600 	1.502124 	0.131316 	1.021423 	2.827205 	0.442158 	0.175138 	1.422419 	0.000000 	
0.585792 	0.178191 	1.543831 	0.169150 	1.085189 	4.485617 	0.436596 	0.038222 	1.943732 	0.397974 	
-0.055192 	0.228696 	1.577003 	0.190594 	1.122247 	3.982491 	0.455883 	0.184949 	1.219163 	0.000000 	
0.113792 	0.056016 	1.652438 	0.156823 	1.084418 	3.842698 	0.541759 	0.067970 	1.025660 	0.011465 	
0.110381 	0.275987 	1.655319 	0.130029 	0.982053 	4.408621 	0.502950 	0.036056 	1.021200 	0.275506 	
-0.416541 	0.151404 	1.640947 	0.145348 	1.027020 	3.029520 	0.357952 	0.160787 	1.856092 	0.000000 	
0.195359 	0.297340 	1.605237 	0.125127 	1.002022 	2.578499 	0.379633 	0.195892 	1.164657 	0.000000 	
-0.087254 	0.196870 	1.515747 	0.166696 	1.070712 	3.659692 	0.400373 	0.092146 	1.334091 	0.000000 	
0.128299 	0.426319 	1.599714 	0.153107 	1.041031 	3.632862 	0.424433 	-0.020611 	1.016520 	0.000000 	
0.012060 	0.066049 	1.593425 	0.175297 	1.028353 	3.687118 	0.464128 	0.218981 	1.120262 	0.013158 	
0.630823 	0.344728 	1.560007 	0.126634 	1.030983 	2.930267 	0.325215 	0.144514 	1.627591 	0.000000 	
0.496360 	-0.062059 	1.571757 	0.148317 	1.119546 	3.397218 	0.442026 	-0.042023 	1.281571 	0.000000 	
0.060095 	0.137937 	1.687389 	0.155426 	0.998458 	3.060495 	0.460303 	0.311381 	1.092639 	0.017775 	
0.354567 	0.052041 	1.609113 	0.168240 	1.051618 	3.945518 	0.443041 	-0.026830 	1.350929 	0.000000 	
-0.063583 	0.194252 	1.691781 	0.157590 	1.046044 	2.181111 	0.465275 	0.205728 	1.264790 	0.000000 	
-0.005648 	0.095642 	1.501897 	0.175612 	1.064496 	4.138881 	0.509044 	0.112080 	1.135542 	0.000000 	
0.163153 	0.353964 	1.662056 	0.106628 	1.004242 	3.128002 	0.493498 	0.121370 	1.013739 	0.022415 	
-0.014138 	0.195694 	1.588796 	0.111840 	1.083511 	3.336063 	0.411408 	0.240055 	1.137159 	0.000000 	
0.184611 	0.119827 	1.434372 	0.146593 	1.040859 	3.426082 	0.522584 	0.047548 	1.012665 	0.016972 	
-0.308710 	0.108373 	1.550769 	0.131461 	1.053581 	4.039686 	0.522887 	0.051155 	1.978902 	0.000000 	
0.349441 	0.271604 	1.553845 	0.190193 	0.991804 	3.056068 	0.472333 	0.090590 	1.460078 	0.012447 	
0.581533 	0.181566 	1.624491 	0.131732 	1.045576 	3.761279 	0.397455 	-0.147501 	1.777143 	0.000000 	
0.247982 	0.212910 	1.625735 	0.150711 	1.024861 	2.884486 	0.401710 	0.068052 	1.081604 	0.000000 	
0.074812 	0.084955 	1.600544 	0.128251 	1.032399 	4.276448 	0.591278 	0.084743 	1.076102 	0.024486 	
0.249207 	0.249072 	1.637139 	0.143110 	0.990103 	2.722981 	0.448705 	0.227915 	1.044163 	0.000000 	
0.450065 	0.208153 	1.628599 	0.122516 	1.031504 	3.511282 	0.485797 	0.191633 	1.129644 	0.005561 	
0.425746 	0.104390 	1.586931 	0.121161 	1.064682 	3.534861 	0.491913 	0.006452 	1.678725 	0.010060 	
-0.238274 	0.132333 	1.513304 	0.153085 	1.047275 	4.227334 	0.621563 	0.160428 	1.575482 	0.000000 	
-0.045580 	0.356783 	1.622939 	0.170448 	1.054218 	2.766957 	0.473536 	0.055911 	1.407297 	0.000000 	
0.403762 	0.415576 	1.517315 	0.158479 	1.001098 	2.789491 	0.403646 	0.133616 	1.353171 	0.000000 	
0.526639 	0.148334 	1.593525 	0.115440 	1.022867 	2.607835 	0.474337 	0.269107 	1.227660 	0.000000 	
0.088375 	0.069437 	1.470488 	0.182408 	1.042547 	3.339335 	0.520739 	0.091955 	1.049943 	0.010239 	
0.307921 	0.267997 	1.592092 	0.140375 	1.019087 	3.902681 	0.427148 	0.224512 	1.034254 	0.023007 	
0.503914 	0.100416 	1.448772 	0.161737 	1.047257 	2.173435 	0.472387 	-0.030217 	2.057791 	0.000000 	
0.805995 	0.156424 	1.509466 	0.146271 	1.058182 	3.381141 	0.547591 	0.167724 	1.488790 	0.053644 	
-0.180418 	0.162950 	1.606855 	0.144428 	1.094382 	3.368900 	0.483819 	0.149142 	1.396434 	0.000000 	
0.502432 	-0.012057 	1.567199 	0.171071 	1.080405 	3.868392 	0.611116 	0.145193 	1.337587 	0.000000 	
0.250907 	0.190853 	1.645032 	0.193388 	1.095478 	4.543792 	0.389341 	0.024438 	1.224717 	0.001127 	
-0.007791 	0.179125 	1.526131 	0.154421 	1.045151 	5.370794 	0.320414 	0.045853 	1.142821 	0.000000 	
0.121625 	0.519288 	1.622998 	0.154899 	1.151259 	4.157628 	0.389140 	-0.059636 	1.050684 	0.000000 	
-0.083552 	0.053558 	1.708293 	0.119091 	1.094122 	4.095583 	0.492393 	0.011799 	1.297927 	0.000000 	
0.501429 	0.319623 	1.479995 	0.146790 	0.986243 	5.258511 	0.610388 	-0.020111 	1.961281 	0.000000 	
0.442388 	0.236147 	1.606450 	0.112424 	1.080171 	4.384370 	0.464721 	0.003463 	1.789765 	0.000952 	
-0.059552 	0.218237 	1.378061 	0.152077 	1.189389 	4.030671 	0.387395 	-0.042624 	1.285171 	0.000000 	
0.056837 	0.134144 	1.708755 	0.162378 	1.117367 	4.583628 	0.391233 	-0.095652 	1.051301 	0.000000 	
0.153515 	0.186508 	1.608149 	0.188469 	1.030384 	3.808964 	0.552912 	0.200375 	1.046174 	0.003763 	
-0.369984 	0.003379 	1.686390 	0.097192 	0.989565 	3.325224 	0.440769 	0.149276 	1.642952 	0.000000 	
0.568740 	0.157053 	1.634396 	0.143945 	0.920768 	3.938316 	0.487148 	-0.124933 	1.681590 	0.000000 	
-0.030067 	0.326126 	1.544638 	0.090270 	1.085560 	4.575830 	0.549005 	-0.009833 	1.191290 	0.000000 	
0.083234 	0.157259 	1.647274 	0.115591 	0.918300 	3.247079 	0.336366 	-0.138071 	1.064429 	0.000000 	
0.119043 	0.297208 	1.792326 	0.102203 	0.904947 	4.190808 	0.535652 	-0.042675 	1.028507 	0.000000 	
-0.217480 	0.129124 	1.527222 	0.099715 	1.095453 	2.871604 	0.355122 	0.052699 	1.724256 	0.000000 	
-0.093061 	0.438425 	1.645363 	0.173643 	0.886442 	3.191234 	0.584563 	0.004994 	1.421209 	0.000000 	
-0.097383 	0.108762 	1.639078 	0.151103 	0.978928 	3.023080 	0.577456 	0.108889 	1.313374 	0.000000 	
0.254800 	0.106944 	1.456224 	0.163493 	1.024216 	4.611032 	0.428507 	-0.008086 	1.124637 	0.000000 	
0.253563 	-0.021297 	1.294340 	0.322676 	1.050556 	4.798483 	0.322212 	0.113151 	1.106858 	0.000000 	
0.118732 	0.243483 	1.433481 	0.124249 	1.097671 	2.974851 	0.537466 	0.229003 	1.092119 	0.000000 	
0.424354 	0.089433 	1.669272 	0.195498 	1.052781 	2.462947 	0.373727 	0.143082 	1.337594 	0.000000 	
0.354115 	0.272827 	1.669689 	0.113498 	1.189472 	4.725381 	0.429132 	0.068858 	1.797002 	0.009582 	
0.153052 	0.011909 	1.546501 	0.162002 	1.061690 	3.473035 	0.539616 	-0.006316 	1.018765 	0.000000 	
0.523183 	0.185829 	1.571739 	0.171092 	1.031618 	2.669072 	0.355093 	-0.140751 	1.333463 	0.000000 	
0.282031 	0.263351 	1.775182 	0.168952 	1.217104 	4.716898 	0.447689 	0.165925 	1.095269 	0.096512 	
0.480173 	0.161150 	1.636493 	0.207737 	1.066720 	5.036386 	0.567125 	0.175250 	1.319223 	0.011181 	
0.083252 	0.610186 	1.725178 	0.194760 	1.020704 	4.756676 	0.418755 	0.084453 	1.038408 	0.832763 	
0.224731 	0.202945 	1.597986 	0.169370 	1.021523 	3.912753 	0.568434 	0.015770 	1.113532 	0.001378 	
0.288037 	0.138956 	1.436036 	0.221820 	1.076610 	4.292408 	0.459764 	-0.112647 	1.197941 	0.000000 	
0.399729 	0.169590 	1.675663 	0.165322 	0.964381 	4.019359 	0.441938 	0.237043 	1.056981 	0.004030 	
0.311385 	0.325884 	1.669716 	0.160340 	1.017307 	2.427718 	0.360162 	-0.049750 	1.288173 	0.000000 	
0.157608 	0.205022 	1.618091 	0.152449 	1.052953 	3.835467 	0.423263 	-0.006772 	1.021446 	0.000000 	
-0.224272 	0.011066 	1.565162 	0.095572 	1.075445 	1.403260 	0.455324 	0.057087 	1.359614 	0.000000 	
0.264000 	0.208639 	1.531191 	0.099187 	1.105942 	4.384693 	0.349125 	0.060113 	1.273082 	0.000000 	
0.336927 	0.206035 	1.383844 	0.155788 	1.056242 	5.060391 	0.434310 	0.014717 	1.416741 	0.002354 	
0.279680 	0.320939 	1.456031 	0.214285 	1.097349 	4.639458 	0.447363 	-0.026374 	1.286790 	0.000000 	
