DateTime,Altamaha_Discharge,Sapelo_Precipitation,MarshLanding_Precipitation,Sapelo_AirTemperature,MarshLanding_AirTemperature,MarshLanding_SolarRadiation,MarshLanding_RelativeHumidity,MarshLanding_WindDirection,MarshLanding_WindSpeed
1957-08-27,113483.0,17.53,,27.2,,,,,
1957-08-28,110936.0,0.0,,27.8,,,,,
1957-08-29,105842.0,0.0,,28.9,,,,,
1957-08-30,103295.0,0.0,,27.8,,,,,
1957-08-31,98201.0,0.0,,26.7,,,,,
1957-09-01,95654.0,0.0,,28.3,,,,,
1957-09-02,90560.0,2.54,,30.0,,,,,
1957-09-03,88013.0,0.0,,29.4,,,,,
1957-09-04,93107.0,2.54,,27.8,,,,,
1957-09-05,95654.0,41.66,,26.7,,,,,
1957-09-06,93107.0,4.83,,26.7,,,,,
1957-09-07,93107.0,18.8,,25.0,,,,,
1957-09-08,98201.0,10.67,,26.1,,,,,
1957-09-09,108389.0,2.54,,28.3,,,,,
1957-09-10,121124.0,30.73,,26.7,,,,,
1957-09-11,137255.0,0.0,,27.2,,,,,
1957-09-12,151405.0,0.0,,27.2,,,,,
1957-09-13,157065.0,0.0,,26.7,,,,,
1957-09-14,148575.0,0.0,,27.8,,,,,
1957-09-15,137255.0,35.81,,27.2,,,,,
1957-09-16,131595.0,5.08,,27.2,,,,,
1957-09-17,131595.0,8.38,,27.2,,,,,
1957-09-18,128765.0,3.05,,27.2,,,,,
1957-09-19,128765.0,0.25,,27.8,,,,,
1957-09-20,126218.0,6.35,,27.2,,,,,
1957-09-21,126218.0,0.0,,27.8,,,,,
1957-09-22,126218.0,5.08,,27.2,,,,,
1957-09-23,128765.0,3.81,,28.3,,,,,
1957-09-24,131595.0,0.0,,24.4,,,,,
1957-09-25,140085.0,0.0,,22.8,,,,,
1957-09-26,160178.0,0.0,,25.6,,,,,
1957-09-27,169517.0,5.08,,23.3,,,,,
1957-09-28,178856.0,72.14,,22.2,,,,,
1957-09-29,185082.0,1.27,,20.6,,,,,
1957-09-30,195553.0,3.3,,21.7,,,,,
1957-10-01,211118.0,31.75,,24.4,,,,,
1957-10-02,223853.0,36.83,,25.0,,,,,
1957-10-03,242248.0,25.15,,22.8,,,,,
1957-10-04,272246.0,13.46,,20.6,,,,,
1957-10-05,294320.0,0.0,,17.2,,,,,
1957-10-06,322620.0,0.0,,20.0,,,,,
1957-10-07,356580.0,0.0,,20.0,,,,,
1957-10-08,404690.0,0.0,,19.4,,,,,
1957-10-09,424500.0,0.0,,22.2,,,,,
1957-10-10,444310.0,0.0,,21.1,,,,,
1957-10-11,444310.0,0.0,,21.7,,,,,
1957-10-12,444310.0,0.0,,20.6,,,,,
1957-10-13,444310.0,0.0,,17.2,,,,,
1957-10-14,444310.0,2.03,,19.4,,,,,
1957-10-15,464120.0,1.27,,22.8,,,,,
1957-10-16,464120.0,0.0,,23.3,,,,,
1957-10-17,444310.0,0.0,,23.3,,,,,
1957-10-18,424500.0,0.0,,22.8,,,,,
1957-10-19,370730.0,0.0,,18.9,,,,,
1957-10-20,331110.0,0.0,,17.2,,,,,
1957-10-21,294320.0,0.0,,16.7,,,,,
1957-10-22,277340.0,0.0,,21.7,,,,,
1957-10-23,267152.0,0.0,,23.3,,,,,
1957-10-24,256964.0,0.51,,22.2,,,,,
1957-10-25,251870.0,3.05,,20.0,,,,,
1957-10-26,242248.0,0.0,,18.3,,,,,
1957-10-27,237437.0,0.0,,13.9,,,,,
1957-10-28,232909.0,0.0,,8.9,,,,,
1957-10-29,223853.0,0.0,,11.7,,,,,
1957-10-30,219608.0,0.0,,14.4,,,,,
1957-10-31,219608.0,0.0,,19.4,,,,,
