param#0 	 param#1 	 param#2 	 dist 	  wgt 
3.296131 	4.393245 	5.578199 	0.833860 	0.000000 	
11.383013 	0.281556 	5.732340 	0.821435 	0.000000 	
6.021889 	1.157942 	5.539355 	0.717969 	0.037379 	
10.298038 	1.528259 	5.380673 	0.684124 	0.000000 	
-0.653645 	-0.279130 	5.819449 	-1.000000 	0.000000 	
5.762852 	2.869888 	5.701149 	0.797994 	0.098799 	
11.150142 	2.615620 	5.706559 	0.815649 	0.000000 	
5.256236 	1.192455 	5.696841 	0.818667 	0.061326 	
5.342914 	2.162559 	5.740484 	0.814883 	0.087897 	
1.559719 	0.227783 	5.726418 	0.850982 	0.129895 	
7.286194 	1.735679 	5.668714 	0.805458 	0.059926 	
5.859855 	2.773759 	5.606087 	0.785886 	0.063011 	
-0.285622 	-0.815182 	5.740874 	-1.000029 	0.000000 	
9.011262 	2.753221 	5.522203 	0.717927 	0.050751 	
4.920035 	1.381980 	5.733978 	0.815528 	0.073084 	
2.759863 	1.728908 	5.530528 	0.766977 	0.049387 	
10.144117 	1.765398 	5.591511 	0.791996 	0.000000 	
6.571011 	2.040870 	5.839179 	0.854938 	0.134742 	
7.372711 	1.776424 	5.669866 	0.819128 	0.061003 	
2.907144 	1.281335 	5.409622 	0.756592 	0.039122 	
12.171925 	2.938280 	5.466791 	0.698149 	0.000000 	
7.038367 	2.839685 	5.620029 	0.815590 	0.100743 	
13.271331 	2.266434 	5.662674 	0.767661 	0.000000 	
10.115332 	3.233457 	5.460718 	0.786639 	0.000000 	
3.304365 	3.794840 	5.480611 	0.787688 	0.100122 	
5.745437 	3.265449 	5.410444 	0.759101 	0.040462 	
4.068268 	2.936863 	5.566269 	0.801965 	0.075542 	
11.307512 	3.898538 	5.565895 	0.782090 	0.000000 	
2.638744 	0.756708 	5.481580 	0.802934 	0.069399 	
3.627474 	1.575447 	5.531740 	0.753341 	0.056492 	
9.935014 	2.300236 	5.620395 	0.780729 	0.178713 	
4.861051 	0.459309 	5.656504 	0.816835 	0.174812 	
11.549009 	0.989159 	5.521772 	0.818544 	0.000000 	
11.146203 	1.306971 	5.667731 	0.797428 	0.000000 	
12.074157 	2.742493 	5.414176 	0.693804 	0.000000 	
5.158051 	2.725914 	5.458896 	0.787582 	0.038277 	
11.328653 	2.666790 	5.357381 	0.692086 	0.000000 	
5.299837 	1.361778 	5.675785 	0.808199 	0.126315 	
12.391026 	2.594170 	5.528897 	0.702121 	0.000000 	
9.944750 	1.234714 	5.503896 	0.798366 	0.046341 	
6.684888 	2.658227 	5.554960 	0.773762 	0.039596 	
8.163191 	1.037516 	5.288072 	0.650156 	0.008729 	
-1.551257 	-0.539562 	5.568417 	-1.000000 	0.000000 	
7.283926 	1.957380 	5.524165 	0.729004 	0.030515 	
10.466083 	2.678597 	5.594956 	0.775767 	0.000000 	
9.924406 	1.556226 	5.585156 	0.785836 	0.078746 	
7.777488 	4.304476 	5.255265 	0.762378 	0.000000 	
11.569303 	2.345642 	5.524355 	0.763636 	0.000000 	
4.249132 	1.912857 	5.386314 	0.706890 	0.008056 	
8.789333 	0.980196 	5.768470 	0.801468 	0.540460 	
9.362646 	3.067066 	5.552631 	0.772891 	0.056594 	
10.070454 	5.123839 	5.560433 	0.766428 	0.000000 	
4.932808 	2.783029 	5.381473 	0.713209 	0.007694 	
9.925394 	4.594794 	5.599783 	0.773979 	0.000000 	
8.325298 	1.465134 	5.660408 	0.799946 	0.126674 	
12.183253 	0.463973 	5.550327 	0.798289 	0.000000 	
3.689220 	2.116723 	5.589070 	0.788474 	0.056596 	
11.042984 	2.868773 	5.541843 	0.777943 	0.000000 	
5.505904 	6.155270 	5.351671 	0.761015 	0.000000 	
7.646380 	1.237602 	5.422929 	0.752426 	0.027715 	
6.911723 	3.632768 	5.475765 	0.782545 	0.163923 	
10.900290 	2.173149 	5.389585 	0.719846 	0.000000 	
10.369736 	2.431888 	5.326351 	0.779777 	0.000000 	
11.596283 	3.220064 	5.572698 	0.771401 	0.000000 	
13.664098 	2.762378 	5.507685 	0.747668 	0.000000 	
7.911872 	0.943098 	5.624658 	0.773947 	0.132471 	
9.406383 	2.460852 	5.561264 	0.768964 	0.122847 	
8.940123 	2.111760 	5.383971 	0.705123 	0.020049 	
6.376177 	1.990622 	5.474213 	0.682447 	0.056908 	
9.573398 	2.050438 	5.314457 	0.725965 	0.010768 	
9.561524 	0.545541 	5.538412 	0.747199 	0.083194 	
5.560461 	1.291351 	5.440137 	0.704169 	0.053579 	
6.916217 	1.650374 	5.279666 	0.709722 	0.007909 	
9.046577 	2.185458 	5.508652 	0.696340 	0.063560 	
8.758903 	3.867129 	5.412677 	0.681676 	0.101545 	
7.507082 	0.797700 	5.301441 	0.720223 	0.011543 	
10.424636 	0.340848 	5.476637 	0.734523 	0.000000 	
11.629883 	0.289862 	5.525996 	0.777880 	0.000000 	
9.591598 	2.242594 	5.595117 	0.763515 	0.143988 	
8.650362 	3.682191 	5.334316 	0.694236 	0.013203 	
11.181050 	3.455323 	5.445043 	0.735665 	0.000000 	
10.249309 	1.405050 	5.438291 	0.724012 	0.000000 	
8.477919 	2.084574 	5.389999 	0.716310 	0.019981 	
8.581546 	6.227282 	5.378674 	0.724031 	0.000000 	
8.309034 	3.417967 	5.451810 	0.669059 	0.038937 	
5.766306 	0.845174 	5.329895 	0.684421 	0.023036 	
6.673983 	0.311139 	5.363226 	0.675593 	0.032266 	
7.372133 	6.493838 	5.513616 	0.769029 	0.000000 	
8.204152 	0.116534 	5.517047 	0.746526 	0.129435 	
5.956800 	1.307611 	5.208775 	0.650953 	0.007314 	
8.331312 	2.515911 	5.280253 	0.725070 	0.007668 	
8.062219 	0.728882 	5.473840 	0.742327 	0.063468 	
7.241338 	1.321544 	5.514310 	0.747222 	0.091273 	
16.446850 	0.643892 	5.491746 	0.694327 	0.000000 	
