DateTime,WS1_Discharge,WS2_Discharge,WS3_Discharge,WS4_Discharge,WS5_Discharge,WS6_Discharge,WS7_Discharge,WS8_Discharge,WS1_Precipitation,WS2_Precipitation,WS3_Precipitation,WS4_Precipitation,WS5_Precipitation,WS6_Precipitation,WS7_Precipitation,STA1_AirTemperature,STA6_AirTemperature,STA14_AirTemperature,STA1A_AirTemperature,STAHQ_AirTemperature,STAHQ_WindDirection,STAHQ_WindSpeed,STAHQ_VaporPressure
1961-12-25,0.4446000000000001,0.5507500000000001,1.26435,1.29014,0.9209999087591252,0.4569057223439621,4.513641410913729,1.7614648336204763,0.3,0.3,0.3,0.8,0.8336277387121814,0.8679154704142185,0.9190399708247824,-7.0,-8.0,-8.391403512465857,-9.0,-5.0,,,
1961-12-26,0.41485,0.51395,1.20345,1.2941,0.9188713503649641,0.4555496595312042,4.506183469810853,1.7550882364417069,0.0,0.0,0.0,0.0,0.0346874298115889,0.05581111224347568,0.103260937911839,-6.0,-6.0,-6.376779605588107,-7.0,-3.0,,,
1961-12-27,0.4106,0.5635,1.1539,1.27005,0.9167427919708038,0.4541935967184471,4.498725528707984,1.7487116392629396,0.8,0.8,0.8,0.0,0.0346874298115889,0.05581111224347568,0.103260937911839,-3.0,-3.0,-3.3548437452714817,-3.0,-1.0,,,
1961-12-28,0.44035,0.6485,1.3379500000000002,1.50134,0.9146142335766428,0.4528375339056893,4.4912675876051065,1.74233504208417,18.5,18.8,19.0,21.6,21.606075770127593,21.98262878285353,22.129294826561303,-3.0,-4.0,-4.362155698710357,-4.0,-2.0,,,
1961-12-29,0.4417666666666665,0.5819,1.3479,1.518475,0.9124856751824826,0.451481471092932,4.4838096465022375,1.7359584449054033,0.0,0.0,0.0,0.0,0.0346874298115889,0.05581111224347568,0.103260937911839,-9.0,-8.0,-8.391403512465857,-10.0,-9.0,,,
1961-12-30,0.40635,0.5635,1.3153,1.4101750000000002,0.9103571167883217,0.4501254082801742,4.476351705399361,1.7295818477266338,0.0,0.0,0.0,0.5,0.5340251228744592,0.5633763361001899,0.6131228334824286,-13.0,-11.0,-11.413339372782481,-14.0,-13.0,,,
1961-12-31,0.3757,0.5706,1.2332,1.373375,0.9082285583941614,0.4487693454674171,4.4688937642964905,1.7232052505478666,0.3,0.3,0.3,0.3,0.3342900456493111,0.3603502465575042,0.4091780752541928,-12.0,-10.0,-10.406027419343607,-13.0,-11.0,,,
1962-01-01,0.3766,0.5522,1.2035,1.22045,0.9061,0.4474132826546591,4.4614358231936135,1.7168286533690962,1.0,1.0,1.0,1.3,1.3329654317750517,1.3754806942709328,1.4289018663953719,-11.0,-10.0,-10.406027419343607,-13.0,-11.0,,,
1962-01-02,0.3766,0.5370666666666667,1.2332,1.2743,0.9061,0.4474132826546591,4.4614358231936135,1.7168286533690962,0.0,0.0,0.0,0.0,0.0346874298115889,0.05581111224347568,0.103260937911839,-12.0,-8.0,-8.391403512465857,-13.0,-9.0,,,
1962-01-03,0.3766,0.5267,1.2134,1.2941,0.9061,0.4474132826546591,4.4614358231936135,1.7168286533690962,2.5,2.8,2.8,3.3,3.3303162040265333,3.4057415896977883,3.46834944867773,-8.0,-7.0,-7.384091559026983,-8.0,-9.0,,,
1962-01-04,0.34546666666666664,0.50405,1.10295,1.22045,0.8452500000000001,0.4086469408983485,4.24823250335292,1.5345381701046876,1.5,1.5,1.5,0.8,0.8336277387121814,0.8679154704142185,0.9190399708247824,-8.0,-11.0,-11.413339372782481,-12.0,-9.0,,,
1962-01-05,0.30396666666666666,0.504,1.035,1.09445,0.7844,0.3698805991420378,4.0350291835122265,1.3522476868402786,3.3,3.6,3.3,4.1,4.1292565129271255,4.2178459478685335,4.284128481590674,-19.0,-12.0,-12.420651326221357,-16.0,-13.0,,,
