DateTime,Newman_Discharge,Fremont_Discharge,Merced_Discharge,SanJoaquin_Precipitation,SanJoaquin_AirTemperature,SanJoaquin_SolarRadiation,SanJoaquin_RelativeHumidity,SanJoaquin_WindDirection,SanJoaquin_WindSpeed,SanJoaquin_SoilMoisture_30cmP1,SanJoaquin_SoilMoisture_30cmP2,SanJoaquin_SoilMoisture_30cmP3,SanJoaquin_SoilMoisture_30cmP4,SanJoaquin_SoilTemperature_10cm,SanJoaquin_SoilTemperature_50cm,SanJoaquin_SoilTemperature_100cm,SanJoaquin_SoilTemperature_200cm
2016-08-08,2551.34368,2030.3145600000007,2287.99744,0.0,27.37112333333333,321.4844277708333,19.238613541666666,151.06497729166662,2.9193870166666667,2.925,3.15625,0.13125,4.241666666666666,29.0875,26.95,26.360416666666666,24.96833333333333
2016-08-09,2489.0467200000007,1928.37408,2228.53216,0.0,27.04905125,316.96803689583334,23.40246208333333,149.38422679166666,2.7746825208333337,2.91875,3.1333333333333333,0.13125,4.216666666666667,29.08125,26.88770833333333,26.309375,24.96104166666667
2016-08-10,2299.32416,1900.05728,2118.0966399999998,0.0,27.65712666666667,320.252294125,24.441119583333336,162.20057208333333,2.7030377875,2.908333333333333,3.1208333333333336,0.12916666666666665,4.2125,29.172916666666666,26.839375,26.26583333333333,24.944791666666664
2016-08-11,2440.90816,1962.35424,2231.36384,0.0,29.038314166666666,317.76081535416665,21.437521666666672,161.01850395833338,3.010251625,2.9,3.1041666666666665,0.13125,4.208333333333333,29.360416666666666,26.83895833333333,26.25708333333333,24.95020833333333
2016-08-12,2517.363520000001,1936.8691200000005,2273.83904,0.0,30.287340625,311.740602975,23.320009166666665,151.66204527083337,2.5644638958333332,2.90625,3.1,0.13333333333333333,4.208333333333333,29.716875,26.85604166666667,26.26354166666667,24.95208333333333
2016-08-13,2372.94784,1863.24544,2152.0768,0.0,32.11460395833333,312.1503813375,19.34461125,160.32087395833332,2.7035965395833337,2.8937499999999994,3.0875,0.14166666666666666,4.214583333333334,30.13875,26.930833333333336,26.30333333333333,24.963125
2016-08-14,2069.95808,1520.61216,1857.58208,0.0,31.31684604166667,312.1476009208333,21.153498125,155.70629979166668,2.552963527083333,2.8770833333333328,3.0583333333333336,0.2041666666666667,4.208333333333333,30.558125,27.07291666666667,26.40020833333333,25.00083333333333
2016-08-15,1786.79008,1418.6716800000006,1611.22592,0.0,29.72060625,309.4026418083333,22.550013125,158.34950179166663,2.9377111666666664,2.8520833333333333,3.0229166666666667,0.18333333333333326,4.185416666666666,30.441666666666666,27.244375,26.529375,25.05833333333333
2016-08-16,1631.0476800000001,1449.8201600000002,1472.4736,0.0,30.182505416666668,302.7243892541667,20.041043958333336,152.69339454166666,2.7585103333333336,2.8375,3.00625,0.17291666666666672,4.175,30.283125,27.30208333333333,26.61125,25.11895833333333
2016-08-17,1565.91904,1441.32512,1438.49344,0.0,30.95107354166667,289.9371360208333,17.400489374999996,147.21725041666667,2.893252947916667,2.8312500000000003,3.0,0.16875,4.158333333333332,30.30083333333333,27.314375,26.643125,25.168958333333336
2016-08-18,1684.8496,1432.8300800000006,1557.424,0.0,30.372358125,283.46919697916667,21.78316875,157.64379583333331,2.392340497916667,2.829166666666666,2.997916666666667,0.175,4.145833333333333,30.345,27.33895833333333,26.67458333333333,25.20895833333333
2016-08-19,1741.4832,1497.95872,1614.0576,0.0,29.91081041666667,290.224528625,21.808468125,129.53423166666667,2.4646575375,2.8208333333333333,2.9604166666666663,0.18125,4.141666666666667,30.252291666666665,27.36104166666667,26.70375,25.24958333333333
2016-08-20,1800.94848,1665.02784,1653.70112,0.0,29.236421875,292.06685387500005,25.08260625,166.28300458333334,2.2758318541666664,2.8166666666666664,2.9312500000000004,0.5729166666666667,4.13125,30.24479166666667,27.366250000000004,26.72041666666667,25.2825
2016-08-21,2018.98784,1795.28512,1840.592,0.0,28.200529166666666,284.37606070833334,21.955177291666665,185.1681868125,2.2654319770833333,2.7791666666666663,2.9020833333333327,1.3041666666666667,4.127083333333333,30.0175,27.37458333333333,26.73958333333333,25.312708333333337
2016-08-22,2220.0371200000004,1914.21568,1999.16608,0.0,28.18014479166667,293.0621066041667,25.99722229166667,170.8957050625,2.10834815625,2.7604166666666665,2.9,1.3020833333333337,4.11875,29.782708333333336,27.34020833333333,26.72979166666667,25.335416666666664
2016-08-23,2415.42304,1968.0176,2146.41344,0.0,27.76562770833333,296.09492183333333,22.8548985625,148.60522770833333,2.6033305,2.739583333333333,2.872916666666667,1.3083333333333331,4.102083333333333,29.50791666666667,27.285416666666666,26.69791666666667,25.34270833333333
2016-08-24,2460.72992,1959.52256,2186.056960000001,0.0,27.58768625,292.3979034166667,18.0417125,141.43082812499995,2.68785879375,2.73125,2.839583333333333,1.3416666666666668,4.08125,29.177291666666665,27.22416666666667,26.6675,25.359791666666666
