param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.118579 	0.097732 	1.240303 	0.124346 	0.616613 	3.008537 	0.051376 	0.090411 	2.248071 	0.305161 	
0.037384 	0.115638 	1.367740 	0.224408 	1.193082 	4.698589 	-0.015721 	0.135386 	2.783222 	0.000000 	
0.652420 	0.020287 	2.123888 	0.022951 	1.790115 	2.974369 	-0.733897 	0.196614 	2.439505 	0.000000 	
0.183293 	0.485839 	1.948785 	0.038629 	1.442651 	3.805767 	0.627945 	0.180864 	3.901460 	0.000000 	
-0.081532 	0.212472 	0.754120 	-0.010088 	0.479223 	2.985777 	-0.070332 	0.273536 	4.644650 	0.000000 	
0.035251 	0.529354 	1.469752 	0.150397 	1.622926 	2.440565 	0.622687 	-0.099911 	2.155899 	0.000000 	
0.171123 	-0.120471 	1.578213 	0.053200 	1.067667 	4.013446 	0.989695 	0.215954 	3.492463 	0.000000 	
0.007812 	0.633923 	1.233149 	0.043970 	0.769596 	4.135954 	-0.237707 	0.183029 	4.700942 	0.000000 	
0.019388 	-0.140653 	1.535747 	0.309469 	2.337588 	3.966048 	0.415038 	0.121138 	3.781343 	0.000000 	
0.404459 	-0.195688 	1.905791 	0.103128 	1.883543 	2.859857 	-0.465937 	0.066779 	3.591869 	0.000000 	
0.088318 	0.444720 	1.837579 	0.149945 	1.067662 	2.948109 	0.163153 	0.126311 	2.930455 	0.000000 	
-0.260685 	0.459998 	1.969822 	-0.020197 	1.318478 	2.567782 	1.179153 	0.185833 	3.198796 	0.000000 	
0.101674 	0.185307 	2.658763 	0.264510 	2.537389 	5.168725 	0.566709 	0.214635 	3.482512 	0.000000 	
0.127295 	0.114873 	1.320079 	0.104201 	1.234092 	3.181031 	0.033964 	0.174430 	2.598495 	0.239497 	
0.168330 	-0.020268 	1.325097 	0.234903 	1.284335 	4.396820 	0.332579 	0.232187 	3.825334 	0.000000 	
0.009965 	0.142950 	1.061279 	-0.008002 	0.039014 	1.306228 	0.708668 	0.139091 	4.954115 	0.000000 	
0.162524 	-0.080237 	0.901985 	0.235859 	0.680989 	4.057492 	-0.201697 	0.084582 	2.122699 	0.000000 	
0.024485 	0.599649 	1.716951 	0.205824 	1.513483 	4.769116 	-0.336000 	-0.045248 	2.770490 	0.000000 	
0.028276 	0.159768 	1.746710 	0.315838 	2.013745 	4.695147 	-0.301452 	0.073121 	2.468505 	0.000000 	
0.090718 	0.384789 	2.057953 	0.279196 	0.257604 	3.958304 	-0.885040 	0.170548 	2.979121 	0.000000 	
0.143778 	0.304480 	2.164625 	0.326918 	0.848814 	3.568761 	0.315741 	0.091063 	4.355589 	0.000000 	
0.239799 	-0.319557 	1.561188 	0.087278 	1.893664 	5.780082 	-0.320035 	-0.003458 	1.556328 	0.000000 	
-0.054579 	0.412135 	0.998375 	-0.025030 	1.533334 	5.504917 	-0.145701 	0.177555 	4.079709 	0.000000 	
0.013756 	-0.111227 	2.284773 	0.251252 	1.748857 	4.848239 	0.400710 	-0.071381 	3.805178 	0.000000 	
0.112241 	0.318068 	1.191241 	0.023861 	1.167844 	3.869372 	0.407813 	-0.205414 	3.741471 	0.000000 	
0.147095 	0.230521 	1.731908 	0.070197 	1.105365 	4.363049 	0.001334 	0.215889 	3.188063 	0.000000 	
