param#0 	 param#1 	 dist 	  wgt 
1.599017 	0.086045 	1.479914 	0.010000 	
1.730062 	0.094644 	1.985655 	0.010000 	
1.708648 	0.122157 	8.953513 	0.010000 	
1.702149 	0.111294 	7.340110 	0.010000 	
1.760082 	0.098181 	1.981397 	0.010000 	
1.712179 	0.106235 	2.155114 	0.010000 	
1.710563 	0.124819 	13.159237 	0.010000 	
1.771841 	0.100038 	1.655548 	0.010000 	
1.707664 	0.128145 	12.403401 	0.010000 	
1.755106 	0.103893 	2.381698 	0.010000 	
1.688924 	0.111590 	4.095214 	0.010000 	
1.748519 	0.108140 	3.508269 	0.010000 	
1.632613 	0.116325 	1.626067 	0.010000 	
1.686161 	0.126451 	1.502545 	0.010000 	
1.730441 	0.121955 	2.442610 	0.010000 	
1.732467 	0.121779 	4.887948 	0.010000 	
1.691513 	0.097129 	1.466223 	0.010000 	
1.738223 	0.105809 	3.684206 	0.010000 	
1.599357 	0.108314 	1.641682 	0.010000 	
1.682772 	0.098145 	1.589216 	0.010000 	
1.771706 	0.098557 	1.853187 	0.010000 	
1.599105 	0.080250 	2.181334 	0.010000 	
1.663590 	0.107927 	4.231061 	0.010000 	
1.695880 	0.125870 	5.700487 	0.010000 	
1.640169 	0.107814 	1.650413 	0.010000 	
1.615796 	0.126018 	1.649494 	0.010000 	
1.608723 	0.091465 	1.611025 	0.010000 	
1.645029 	0.085197 	1.904907 	0.010000 	
1.655619 	0.122711 	1.580887 	0.010000 	
1.601611 	0.105052 	2.526803 	0.010000 	
1.764725 	0.094847 	2.043670 	0.010000 	
1.682216 	0.111491 	11.254183 	0.010000 	
1.708637 	0.121634 	2.900609 	0.010000 	
1.641195 	0.089907 	1.476746 	0.010000 	
1.677163 	0.120311 	1.413797 	0.010000 	
1.599361 	0.129039 	1.651500 	0.010000 	
1.757703 	0.123881 	2.517651 	0.010000 	
1.724567 	0.112128 	2.039987 	0.010000 	
1.598940 	0.120771 	1.641519 	0.010000 	
1.628362 	0.117372 	1.607925 	0.010000 	
1.731398 	0.125635 	3.411810 	0.010000 	
1.711028 	0.128174 	3.010810 	0.010000 	
1.771260 	0.109351 	1.832461 	0.010000 	
1.704320 	0.111636 	5.021221 	0.010000 	
1.630527 	0.123736 	7.641223 	0.010000 	
1.604225 	0.088851 	1.558889 	0.010000 	
1.713320 	0.125177 	14.099495 	0.010000 	
1.650069 	0.112358 	1.585258 	0.010000 	
1.691829 	0.113141 	9.026324 	0.010000 	
1.670375 	0.088264 	1.519196 	0.010000 	
1.623329 	0.090635 	1.614050 	0.010000 	
1.677975 	0.116907 	2.367370 	0.010000 	
1.715032 	0.112900 	1.627888 	0.010000 	
1.649379 	0.090268 	1.441475 	0.010000 	
1.627714 	0.129395 	1.971244 	0.010000 	
1.705320 	0.095791 	8.568630 	0.010000 	
1.676133 	0.087230 	6.352736 	0.010000 	
1.695646 	0.093761 	1.289434 	0.010000 	
1.622755 	0.104308 	1.819631 	0.010000 	
1.769887 	0.120525 	5.279300 	0.010000 	
1.739558 	0.094600 	3.047627 	0.010000 	
1.655182 	0.106511 	2.919125 	0.010000 	
1.725660 	0.093263 	1.569141 	0.010000 	
1.703070 	0.122348 	11.115404 	0.010000 	
1.603157 	0.124912 	1.592973 	0.010000 	
1.602548 	0.096997 	1.648754 	0.010000 	
1.689290 	0.118296 	10.337933 	0.010000 	
1.771088 	0.098387 	2.405030 	0.010000 	
1.609299 	0.087087 	1.597818 	0.010000 	
1.661714 	0.123908 	10.210131 	0.010000 	
1.612568 	0.085480 	1.578500 	0.010000 	
1.733202 	0.109952 	3.298824 	0.010000 	
1.706384 	0.128697 	6.046356 	0.010000 	
1.680638 	0.095146 	28.480013 	0.010000 	
1.713581 	0.128852 	2.871916 	0.010000 	
1.715365 	0.110065 	7.487605 	0.010000 	
1.686560 	0.115515 	1.400335 	0.010000 	
1.686199 	0.092350 	4.461280 	0.010000 	
1.768672 	0.118674 	2.124769 	0.010000 	
1.753409 	0.090696 	1.618546 	0.010000 	
1.684281 	0.108678 	7.139686 	0.010000 	
1.728585 	0.103023 	3.273776 	0.010000 	
1.605771 	0.107027 	15.759230 	0.010000 	
1.762413 	0.100122 	2.338197 	0.010000 	
1.703485 	0.113269 	1.450497 	0.010000 	
1.642550 	0.117329 	7.963264 	0.010000 	
1.742277 	0.125074 	2.561561 	0.010000 	
1.631176 	0.108193 	1.635870 	0.010000 	
1.710866 	0.125249 	3.040155 	0.010000 	
1.614277 	0.088379 	1.524600 	0.010000 	
1.605578 	0.080016 	1.596659 	0.010000 	
1.707274 	0.117949 	1.556461 	0.010000 	
1.730370 	0.100369 	1.216077 	0.010000 	
1.693474 	0.094716 	6.254518 	0.010000 	
1.724095 	0.091673 	2.241415 	0.010000 	
1.621386 	0.080849 	2.161990 	0.010000 	
1.771664 	0.085722 	1.690270 	0.010000 	
1.753613 	0.091207 	2.032095 	0.010000 	
1.735371 	0.100704 	1.314255 	0.010000 	
1.671904 	0.085024 	4.992777 	0.010000 	
1.628902 	0.094572 	2.912308 	0.022180 	
1.701926 	0.111019 	2.481551 	0.015870 	
1.793111 	0.145075 	1.669344 	0.000000 	
1.591572 	0.115513 	1.738640 	0.000000 	
1.628912 	0.115846 	1.600003 	0.020775 	
1.607202 	0.116151 	1.591465 	0.025072 	
1.568096 	0.097981 	1.647081 	0.000000 	
1.602532 	0.113620 	1.624232 	0.025521 	
1.641352 	0.074084 	1.554374 	0.000000 	
1.731432 	0.086321 	1.711440 	0.025468 	
1.606503 	0.146836 	1.574620 	0.000000 	
1.716145 	0.075725 	1.565266 	0.000000 	
1.662391 	0.112638 	1.475843 	0.016841 	
1.637800 	0.078483 	1.445423 	0.000000 	
1.743394 	0.084542 	1.788085 	0.028997 	
1.509802 	0.096999 	1.654602 	0.000000 	
1.623296 	0.111421 	1.626923 	0.020846 	
1.632630 	0.113673 	4.037941 	0.019792 	
1.753444 	0.105395 	2.599337 	0.019596 	
1.640450 	0.057347 	1.434565 	0.000000 	
1.592538 	0.092999 	1.528092 	0.000000 	
1.645882 	0.111258 	2.188202 	0.017977 	
1.598288 	0.125941 	1.709884 	0.033599 	
1.790904 	0.118907 	1.760938 	0.000000 	
1.775409 	0.083517 	1.419788 	0.000000 	
