param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.049345 	0.595368 	1.611634 	0.159439 	1.262208 	3.202657 	0.860995 	0.104889 	0.961216 	0.020000 	
0.616223 	0.332551 	1.509363 	0.134239 	0.498688 	5.282522 	0.213039 	0.256705 	1.618700 	0.020000 	
0.229099 	0.186728 	1.414044 	0.533394 	0.287370 	3.694571 	0.092141 	0.175521 	1.659746 	0.020000 	
0.740716 	0.089056 	0.842199 	0.105837 	0.445705 	3.331836 	0.045240 	0.047061 	9.894793 	0.020000 	
0.670124 	0.133200 	1.380689 	0.122871 	1.218298 	3.900020 	0.816258 	0.282004 	3.040381 	0.020000 	
0.908026 	0.038302 	1.761417 	0.118320 	0.688280 	3.486069 	1.685443 	0.264439 	3.279239 	0.020000 	
0.099327 	0.564192 	1.829613 	0.456600 	1.667911 	3.161497 	1.270202 	0.099975 	1.753283 	0.020000 	
0.225032 	0.152022 	1.833466 	0.563475 	0.764330 	3.919082 	1.088718 	0.194512 	1.690535 	0.020000 	
0.006577 	0.441330 	1.850818 	0.313935 	1.645239 	3.321194 	1.015485 	0.170069 	1.309880 	0.020000 	
0.133144 	0.452849 	1.067084 	0.529913 	1.403055 	5.725874 	0.513680 	0.152884 	2.211002 	0.020000 	
0.177181 	0.759584 	1.428533 	0.744670 	1.700851 	4.183589 	0.014718 	0.054237 	5.490740 	0.020000 	
0.232322 	0.233997 	1.943338 	0.200954 	1.893170 	5.033021 	0.405167 	0.266287 	1.995283 	0.020000 	
0.254873 	0.214490 	1.045089 	0.542252 	1.511348 	5.102276 	0.246012 	0.163587 	6.731153 	0.020000 	
0.147286 	0.674341 	1.719368 	0.225708 	1.032782 	4.582569 	0.415124 	0.197128 	1.690517 	0.020000 	
0.530690 	0.484133 	1.587898 	0.106738 	0.542570 	5.810244 	0.196321 	0.161298 	4.048589 	0.020000 	
0.081985 	0.167396 	1.907208 	0.151346 	0.881803 	3.463550 	1.190915 	0.116764 	1.120213 	0.020000 	
0.275730 	0.180233 	1.310568 	0.442654 	0.544934 	3.283097 	0.249564 	0.332915 	1.991113 	0.020000 	
0.403188 	0.480619 	1.428866 	0.127188 	0.470032 	4.756906 	1.274310 	0.207094 	1.620197 	0.020000 	
0.700578 	0.054765 	0.843064 	0.123126 	0.702749 	4.953365 	1.169143 	0.085632 	6.974564 	0.020000 	
0.279310 	0.009501 	1.252245 	0.124352 	1.156148 	5.454966 	1.517836 	0.068669 	1.228876 	0.020000 	
0.162290 	1.107991 	1.740670 	0.139783 	1.069071 	3.701652 	0.577870 	0.184015 	2.788075 	0.020000 	
0.196955 	0.487231 	1.865833 	0.122382 	1.836313 	5.412103 	1.025321 	0.265932 	2.323797 	0.020000 	
0.198109 	1.087653 	1.521562 	0.103719 	1.631982 	5.719949 	0.303468 	0.004988 	5.830878 	0.020000 	
0.246032 	0.285129 	1.981060 	0.423053 	0.690816 	3.002179 	0.099821 	0.183673 	3.543813 	0.020000 	
0.139586 	0.776543 	1.978643 	0.529531 	1.818289 	3.093222 	0.414829 	0.146382 	4.549521 	0.020000 	
0.253667 	0.338004 	1.139489 	0.375651 	0.668968 	4.933418 	0.854101 	0.117511 	4.888970 	0.020000 	
0.509295 	0.004382 	1.355292 	0.194598 	0.316855 	4.662915 	0.554828 	0.130460 	2.278743 	0.020000 	
0.214710 	0.522745 	1.482600 	0.457278 	0.642867 	3.114689 	1.312447 	0.173175 	4.751054 	0.020000 	
0.174370 	1.055420 	1.732339 	0.112630 	1.443206 	4.628459 	1.601242 	0.100849 	4.159726 	0.020000 	
0.243585 	0.462485 	1.691502 	0.111989 	0.842787 	3.127398 	0.150078 	0.206475 	1.348264 	0.020000 	
0.059026 	0.377109 	1.085042 	0.734507 	1.093942 	3.107744 	0.034246 	0.191131 	0.911084 	0.020000 	
0.137718 	0.050209 	1.275917 	0.812627 	1.727039 	4.517325 	0.152589 	0.037592 	3.214429 	0.020000 	
0.426174 	0.136086 	1.438679 	0.105374 	0.596391 	4.004066 	0.888362 	0.039715 	2.727678 	0.020000 	
0.087960 	0.534302 	1.216804 	0.216469 	0.841859 	4.469343 	1.121622 	0.063418 	0.864625 	0.020000 	
0.110591 	0.793634 	1.698972 	0.201619 	1.338662 	4.198685 	0.129057 	0.295250 	4.671512 	0.020000 	
0.252824 	0.618199 	0.977795 	0.234270 	1.420602 	4.752034 	0.567896 	0.119031 	8.929058 	0.020000 	
0.006343 	0.069715 	1.546713 	0.262788 	0.456856 	3.822494 	0.421454 	0.192285 	1.425538 	0.020000 	
0.338795 	0.667673 	1.080017 	0.127937 	0.217334 	3.841429 	0.874947 	0.055849 	4.232311 	0.020000 	
0.263718 	0.679163 	1.603749 	0.270705 	0.770952 	3.689846 	1.209474 	0.175946 	5.017220 	0.020000 	
0.292607 	0.089181 	1.070449 	0.297147 	1.919567 	3.458672 	1.429177 	0.149165 	6.018847 	0.020000 	
0.113483 	0.605431 	1.727426 	0.155541 	1.813824 	3.097714 	0.992953 	0.069288 	2.033042 	0.020000 	
0.221166 	0.294209 	0.862586 	0.182248 	1.838432 	3.051417 	0.702866 	0.138099 	8.506454 	0.020000 	
0.207456 	0.698966 	1.406124 	0.353033 	1.268868 	5.539263 	0.157179 	0.002962 	4.334936 	0.020000 	
0.003387 	0.206117 	1.981872 	0.753869 	0.492403 	3.822816 	0.862559 	0.108875 	1.419790 	0.020000 	
0.321125 	0.406603 	1.217440 	0.340961 	0.606459 	3.890309 	0.527572 	0.133329 	4.010404 	0.020000 	
0.005214 	0.160876 	1.983771 	0.503261 	1.502310 	5.566162 	0.044032 	0.107353 	1.390140 	0.020000 	
0.199844 	0.509193 	1.597942 	0.330832 	1.907740 	3.712804 	0.709437 	0.182973 	7.808717 	0.020000 	
0.239653 	0.159180 	1.856973 	0.326325 	0.952473 	3.957045 	1.097300 	0.201200 	7.853002 	0.020000 	
0.101297 	0.271115 	1.323564 	0.585625 	1.325547 	5.235132 	0.174636 	0.220612 	1.552514 	0.020000 	
0.349736 	0.107972 	1.453255 	0.286747 	0.725213 	4.892293 	1.379490 	0.094989 	6.400997 	0.020000 	
0.239193 	0.390929 	1.854690 	0.105076 	3.014897 	5.014508 	1.072459 	0.103207 	4.718134 	0.000000 	
0.144242 	0.383758 	1.841856 	0.380616 	1.629563 	2.980635 	0.912149 	-0.014601 	2.955286 	0.000000 	
0.166953 	0.580335 	1.292726 	0.205968 	1.000737 	7.358244 	0.400046 	0.216413 	3.069029 	0.000000 	
0.004348 	0.518600 	0.924465 	0.175686 	0.881654 	3.440566 	0.802921 	0.101357 	1.410586 	0.374919 	
0.933279 	-0.295234 	1.039637 	-0.083691 	0.864636 	2.804125 	0.907459 	0.203652 	4.727729 	0.000000 	
0.365515 	-0.039593 	1.932750 	0.259216 	1.133000 	2.680912 	0.978225 	0.092745 	3.603442 	0.000000 	
0.181299 	0.373851 	1.491691 	0.613525 	0.942437 	4.051903 	0.114127 	0.185954 	2.113459 	0.235570 	
-0.058979 	-0.408980 	2.105110 	0.287150 	1.063368 	3.635544 	0.595150 	-0.001874 	2.061834 	0.000000 	
0.154722 	0.149709 	1.965721 	0.049476 	-0.004118 	2.331813 	0.876957 	0.084551 	1.180933 	0.000000 	
0.229080 	0.113002 	2.417162 	0.049867 	1.271760 	3.331948 	0.690532 	0.160955 	1.229685 	0.000000 	
0.179363 	0.379261 	1.192629 	0.197461 	0.501801 	6.374473 	-0.311764 	-0.050876 	0.974283 	0.000000 	
0.495975 	0.657781 	1.633647 	0.006746 	0.399372 	4.857620 	-0.008810 	0.270004 	1.195252 	0.000000 	
-0.123847 	-0.584130 	1.270239 	-0.279688 	0.132235 	3.359601 	0.272322 	0.151230 	1.815130 	0.000000 	
0.076692 	-0.225640 	0.517878 	0.221887 	1.575458 	4.780674 	-0.037774 	0.302409 	1.078815 	0.000000 	
-0.067429 	0.820709 	2.008887 	0.057491 	0.914766 	4.488412 	0.015296 	0.154021 	3.101122 	0.000000 	
0.556359 	-0.059697 	1.390701 	0.116391 	1.058484 	3.131100 	1.468039 	0.196404 	1.995239 	0.000000 	
0.032024 	0.261497 	2.004051 	0.382122 	1.391239 	6.031757 	0.908330 	0.069825 	1.041623 	0.000000 	
0.250711 	-0.543753 	2.418146 	-0.091735 	0.860482 	2.787690 	1.123435 	0.126181 	2.222780 	0.000000 	
-0.072701 	0.916039 	1.555178 	0.540766 	1.488800 	4.021406 	-0.243929 	-0.049579 	4.802562 	0.000000 	
0.756857 	-0.964489 	1.377237 	0.289864 	0.357236 	4.490518 	0.911348 	0.095730 	2.746340 	0.000000 	
0.101721 	0.611760 	1.676160 	0.166187 	2.038583 	7.719416 	0.560310 	0.225092 	2.617887 	0.000000 	
0.302789 	0.048145 	1.275607 	0.138703 	1.061496 	4.729785 	1.385494 	0.242942 	1.467773 	0.389510 	
0.057497 	-0.030483 	0.414238 	0.161609 	3.116617 	1.987655 	-0.146036 	0.154031 	1.099328 	0.000000 	
-0.049965 	-0.267612 	2.053047 	0.333092 	1.922493 	3.356580 	1.628093 	-0.026800 	2.205647 	0.000000 	
0.194647 	-0.052436 	1.437564 	0.164302 	3.061287 	2.085842 	1.450784 	0.228520 	1.399064 	0.000000 	
-0.100569 	-0.179372 	1.592595 	0.149247 	0.795230 	2.709650 	1.131147 	0.044757 	2.502154 	0.000000 	
0.195599 	-0.178376 	2.472288 	1.032405 	0.359898 	3.206289 	0.791450 	-0.002205 	1.352260 	0.000000 	
0.322171 	-0.109713 	1.862879 	0.204557 	0.417872 	4.239698 	1.322232 	0.330130 	1.372223 	0.000000 	
0.057210 	0.626802 	1.233233 	0.005665 	0.305802 	6.283959 	0.503290 	0.160466 	1.395982 	0.000000 	
-0.033561 	0.543402 	1.485592 	0.028406 	0.851942 	6.401993 	1.276866 	0.270184 	1.541512 	0.000000 	
0.054427 	-0.025546 	0.680148 	0.178194 	1.251251 	3.794912 	0.995212 	0.086265 	1.122657 	0.000000 	
0.218297 	0.482955 	2.024229 	0.488743 	0.481503 	2.445265 	0.119115 	0.101684 	2.188755 	0.000000 	
-0.200345 	0.501610 	1.396546 	0.013660 	0.837229 	3.928973 	0.608189 	0.000065 	2.781181 	0.000000 	
-0.082848 	0.702915 	2.268565 	0.065081 	0.385938 	3.957869 	0.966400 	-0.091481 	2.302307 	0.000000 	
0.300444 	0.308357 	0.906080 	-0.037155 	1.432010 	1.500129 	0.901639 	0.270313 	2.648317 	0.000000 	
0.334238 	-0.301690 	2.702576 	0.906578 	1.588702 	3.928994 	-0.097365 	0.214124 	3.820475 	0.000000 	
-0.079670 	0.434933 	1.724485 	0.989072 	1.406765 	2.451179 	0.486177 	0.181021 	4.325896 	0.000000 	
0.118544 	-0.158186 	1.185931 	0.233923 	1.230144 	4.678941 	-0.454485 	0.265002 	1.986153 	0.000000 	
0.131886 	-0.151689 	2.927661 	0.435842 	2.017751 	1.340372 	0.136033 	0.207021 	1.415528 	0.000000 	
0.122230 	0.319903 	1.315017 	0.884404 	1.297545 	4.916858 	-0.727531 	0.197152 	4.371961 	0.000000 	
0.173513 	0.598486 	2.201512 	0.065353 	1.959362 	6.722917 	0.290534 	0.115859 	1.688577 	0.000000 	
-0.078142 	0.052382 	2.385924 	-0.018033 	1.531596 	3.769206 	-0.633151 	0.055559 	1.403151 	0.000000 	
0.139988 	0.329994 	0.778488 	0.284326 	0.578002 	3.766107 	-0.568121 	0.102345 	1.063067 	0.000000 	
0.191090 	-0.457124 	0.643830 	0.854366 	0.890266 	3.179816 	0.414134 	-0.086583 	2.433221 	0.000000 	
0.386665 	-0.091193 	1.623191 	-0.048357 	1.571861 	4.668924 	-0.046364 	0.196835 	2.786385 	0.000000 	
0.010631 	0.373163 	0.894372 	0.332945 	1.641389 	4.523749 	-0.573953 	0.055481 	1.289351 	0.000000 	
0.009290 	0.921760 	1.970548 	0.567698 	1.319815 	3.763879 	-0.699287 	0.055907 	1.251316 	0.000000 	
0.035417 	0.262210 	1.769987 	0.375442 	0.317179 	4.855743 	-0.516650 	0.087282 	1.090231 	0.000000 	
0.067804 	-0.061670 	1.815971 	0.563220 	1.127647 	5.087438 	0.466289 	0.067048 	0.989498 	0.000000 	
-0.111903 	0.605518 	2.144787 	0.010864 	2.839746 	4.315344 	1.326023 	0.163561 	1.896318 	0.000000 	
-0.021631 	-0.420390 	0.971588 	-0.068307 	1.215019 	5.682888 	0.176923 	0.198994 	1.439338 	0.000000 	
-0.026577 	0.284360 	0.830373 	0.056705 	0.667019 	2.779439 	-1.364087 	0.008319 	1.731709 	0.000000 	
0.343810 	-0.283794 	0.940363 	0.024045 	0.933072 	4.760992 	1.497662 	0.097414 	1.219779 	0.000000 	
0.014944 	-0.019319 	1.099612 	0.609504 	0.908007 	5.349139 	1.061432 	0.161859 	1.298351 	0.000000 	
0.075349 	0.118984 	0.826124 	0.049879 	0.869979 	2.342453 	0.848910 	0.127727 	1.265257 	0.000000 	
-0.023392 	0.002542 	0.441824 	0.484488 	0.814102 	2.982110 	-0.446889 	0.006215 	1.926902 	0.000000 	
-0.094890 	0.047712 	0.510610 	0.328369 	0.929965 	5.112248 	0.809118 	0.243987 	2.666113 	0.000000 	
0.156091 	0.523486 	0.506389 	0.173617 	1.039068 	4.491174 	0.228131 	0.104989 	1.890126 	0.000000 	
0.641102 	-0.195512 	1.845059 	0.056261 	1.102914 	4.470781 	0.404643 	0.225578 	1.191689 	0.000000 	
-0.018161 	0.443036 	0.684463 	0.053470 	0.859773 	2.048254 	1.055106 	0.050919 	1.779372 	0.000000 	
0.140739 	0.134020 	1.494947 	-0.020953 	1.226957 	5.019991 	-0.131345 	0.286951 	1.616012 	0.000000 	
0.359279 	-0.619630 	1.899812 	0.418037 	1.020936 	3.894612 	0.457235 	0.137991 	1.820604 	0.000000 	
0.515856 	0.019413 	1.167282 	0.028953 	0.907392 	4.335336 	0.348959 	0.321884 	1.199903 	0.000000 	
0.055881 	0.286151 	1.211487 	0.111609 	0.694730 	3.760733 	1.188054 	0.070799 	1.139673 	0.138011 	
0.041055 	0.672142 	1.024276 	0.394431 	0.796608 	3.349574 	0.808043 	0.107341 	0.888613 	0.046553 	
