param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 dist 	  wgt 
0.691396 	9.800534 	25785.265400 	0.004832 	0.001707 	0.000009 	1.475623 	0.010000 	
1.509064 	3.575850 	23974.752675 	0.001251 	0.004996 	0.000009 	1.149298 	0.010000 	
0.712540 	0.225774 	27013.732316 	0.000176 	0.003923 	0.000009 	1.623817 	0.010000 	
0.724766 	3.667017 	27669.186920 	0.000574 	0.004989 	0.000007 	1.805758 	0.010000 	
0.728765 	7.575050 	24094.574180 	0.003558 	0.003905 	0.000002 	1.229532 	0.010000 	
1.584753 	6.319254 	27906.571783 	0.001389 	0.003736 	0.000002 	1.600219 	0.010000 	
0.128764 	1.285995 	28331.714548 	0.001050 	0.003299 	0.000009 	5.113608 	0.010000 	
0.585892 	8.813495 	26159.952465 	0.002034 	0.004022 	0.000008 	1.701536 	0.010000 	
1.119413 	7.024119 	23146.443115 	0.004385 	0.003708 	0.000007 	1.097754 	0.010000 	
1.981631 	3.330584 	27117.759635 	0.003507 	0.002354 	0.000006 	1.391846 	0.010000 	
0.228964 	0.957988 	24187.068832 	0.002548 	0.000241 	0.000005 	2.024674 	0.010000 	
0.151081 	6.691030 	29695.621962 	0.003108 	0.001813 	0.000008 	5.165164 	0.010000 	
1.211927 	5.478380 	25870.244254 	0.004616 	0.002563 	0.000009 	1.380720 	0.010000 	
1.070783 	8.911342 	27498.262002 	0.002793 	0.001555 	0.000006 	1.582647 	0.010000 	
1.865103 	6.627445 	28759.423577 	0.004619 	0.000281 	0.000006 	1.679184 	0.010000 	
1.514355 	1.827963 	27416.811532 	0.003742 	0.004493 	0.000004 	1.626283 	0.010000 	
0.364602 	5.869118 	29561.578907 	0.004192 	0.001881 	0.000002 	2.796569 	0.010000 	
1.221223 	9.057775 	26044.939415 	0.002992 	0.003525 	0.000006 	1.396815 	0.010000 	
0.674343 	8.930377 	29748.579366 	0.000712 	0.004298 	0.000002 	2.268427 	0.010000 	
1.937699 	2.202623 	29785.365021 	0.000106 	0.002167 	0.000006 	1.840216 	0.010000 	
1.137208 	7.650819 	27816.851662 	0.003371 	0.003049 	0.000007 	1.761724 	0.010000 	
1.817300 	2.361806 	28009.915071 	0.002442 	0.001750 	0.000009 	1.505783 	0.010000 	
0.482139 	3.179013 	25926.967129 	0.004654 	0.000963 	0.000004 	1.754864 	0.010000 	
1.834500 	2.827801 	24785.446579 	0.003557 	0.000064 	0.000000 	1.190026 	0.010000 	
0.412728 	0.486425 	31876.700899 	0.003595 	0.000197 	0.000004 	3.129361 	0.010000 	
1.536520 	2.512705 	30223.214591 	0.000086 	0.001121 	0.000007 	1.947545 	0.010000 	
0.610576 	1.355298 	25396.983398 	0.002379 	0.004125 	0.000002 	1.567770 	0.010000 	
1.799077 	6.225438 	27322.076498 	0.001988 	0.000138 	0.000008 	1.498297 	0.010000 	
0.203781 	7.537090 	26460.706009 	0.002271 	0.000200 	0.000001 	2.794396 	0.010000 	
1.033575 	0.335320 	27962.120706 	0.001435 	0.004553 	0.000003 	1.752247 	0.010000 	
1.565185 	2.733770 	27714.436526 	0.001630 	0.003444 	0.000003 	1.499968 	0.010000 	
0.219081 	2.265193 	25178.198047 	0.001879 	0.003642 	0.000008 	2.302649 	0.010000 	
1.869139 	7.530173 	26695.617677 	0.004186 	0.004896 	0.000003 	1.512880 	0.010000 	
1.042177 	0.441659 	26973.267124 	0.004818 	0.000791 	0.000002 	1.596108 	0.010000 	
0.960222 	5.763346 	26917.130746 	0.002361 	0.000418 	0.000005 	1.538035 	0.010000 	
0.382856 	6.058947 	30111.033588 	0.003957 	0.000332 	0.000003 	2.832145 	0.010000 	
