param#0 	 param#1 	 dist 	  wgt 
1.578478 	0.250803 	1.615146 	0.010000 	
1.273957 	0.209971 	1.472478 	0.010000 	
1.328376 	0.169742 	1.472417 	0.010000 	
1.479347 	0.249979 	1.471055 	0.010000 	
1.419755 	0.243704 	1.470201 	0.010000 	
1.314175 	0.166330 	1.472448 	0.010000 	
1.517185 	0.227444 	1.484503 	0.010000 	
1.578339 	0.211884 	1.455827 	0.010000 	
1.237478 	0.237705 	1.472485 	0.010000 	
1.526283 	0.203547 	1.471072 	0.010000 	
1.459825 	0.192515 	1.471132 	0.010000 	
1.369038 	0.252542 	1.472316 	0.010000 	
1.470344 	0.254223 	1.472199 	0.010000 	
1.401632 	0.202999 	1.472231 	0.010000 	
1.372584 	0.228336 	1.470763 	0.010000 	
1.497722 	0.172011 	1.471049 	0.010000 	
1.301752 	0.249847 	1.472077 	0.010000 	
1.511328 	0.181458 	1.471919 	0.010000 	
1.551524 	0.185324 	1.375509 	0.010000 	
1.419750 	0.180756 	1.472134 	0.010000 	
1.733763 	0.223331 	5.194225 	0.010000 	
1.725267 	0.253279 	15.148323 	0.010000 	
1.411582 	0.205070 	1.470022 	0.010000 	
1.387549 	0.257416 	1.472248 	0.010000 	
1.579030 	0.204666 	1.468622 	0.010000 	
1.411995 	0.204869 	1.470221 	0.010000 	
1.556437 	0.168418 	2.199663 	0.010000 	
1.391724 	0.215668 	1.465412 	0.010000 	
1.748810 	0.202076 	2.131195 	0.010000 	
1.715527 	0.225771 	5.840772 	0.010000 	
1.308853 	0.173463 	1.471948 	0.010000 	
1.262756 	0.233067 	1.472290 	0.010000 	
1.558732 	0.203072 	1.458009 	0.010000 	
1.409553 	0.209679 	1.472205 	0.010000 	
1.503962 	0.216279 	1.458287 	0.010000 	
1.472623 	0.170593 	1.471022 	0.010000 	
1.287210 	0.233007 	1.472481 	0.010000 	
1.402269 	0.247449 	1.471901 	0.010000 	
1.340507 	0.235998 	1.472325 	0.010000 	
1.334955 	0.176454 	1.466844 	0.010000 	
1.564965 	0.253672 	1.467131 	0.010000 	
1.675137 	0.215318 	24.331601 	0.010000 	
1.242231 	0.219202 	1.472434 	0.010000 	
1.488254 	0.169146 	1.469094 	0.010000 	
1.728480 	0.255101 	8.486229 	0.010000 	
1.463871 	0.252974 	1.471672 	0.010000 	
1.382195 	0.206458 	1.472234 	0.010000 	
1.635952 	0.256555 	11.728719 	0.010000 	
1.362056 	0.253593 	1.472462 	0.010000 	
1.558858 	0.228193 	1.463553 	0.010000 	
1.257944 	0.160660 	1.472462 	0.010000 	
1.662891 	0.241036 	6.440370 	0.010000 	
1.537992 	0.215821 	1.457922 	0.010000 	
1.383640 	0.203614 	1.472402 	0.010000 	
1.278999 	0.180691 	1.472480 	0.010000 	
1.501593 	0.225035 	5.432178 	0.010000 	
1.652939 	0.211005 	1.541232 	0.010000 	
1.478348 	0.173693 	1.471341 	0.010000 	
1.604820 	0.197985 	1.448080 	0.010000 	
1.414230 	0.258035 	1.471650 	0.010000 	
1.319299 	0.190939 	1.472023 	0.010000 	
1.512504 	0.208151 	1.468987 	0.010000 	
1.690873 	0.190077 	5.051813 	0.010000 	
1.731100 	0.164959 	4.090913 	0.010000 	
1.386356 	0.212843 	1.461331 	0.010000 	
1.382705 	0.233333 	1.472094 	0.010000 	
1.506809 	0.214219 	1.470398 	0.010000 	
1.385690 	0.163751 	1.471890 	0.010000 	
1.646115 	0.213245 	1.422950 	0.010000 	
1.717341 	0.184649 	6.499255 	0.010000 	
1.721331 	0.165450 	1.340784 	0.010000 	
1.708359 	0.209064 	1.132228 	0.010000 	
1.538922 	0.221455 	1.461760 	0.010000 	
1.520438 	0.227762 	1.469412 	0.010000 	
1.538644 	0.189994 	1.460148 	0.010000 	
1.272249 	0.231407 	1.472315 	0.010000 	
1.759525 	0.236488 	3.473998 	0.010000 	
1.247664 	0.226502 	1.472467 	0.010000 	
1.531558 	0.254622 	1.469384 	0.010000 	
1.674741 	0.216938 	1.958187 	0.010000 	
1.476858 	0.219603 	1.472063 	0.010000 	
