DateTime,Dwnstr_Discharge,Upstr_Discharge,CMR_Precipitation,CMR_AirTemperature_1m,CMR_AirTemperature_2m,CMR_SolarRadiation,CMR_RelativeHumidity_1m,CMR_RelativeHumidity_2m,CMR_WindDirection,CMR_WindSpeed,CMR_SnowDepth,CMR_SoilMoisture_10cm,CMR_SoilMoisture_20cm,CMR_SoilMoisture_40cm,CMR_SoilTemperature_2cm,CMR_SoilTemperature_5cm,CMR_SoilTemperature_10cm,CMR_SoilTemperature_15cm,CMR_SoilTemperature_20cm,CMR_SoilTemperature_30cm,CMR_SoilTemperature_40cm,CMR_SoilTemperature_50cm,CMR_SoilTemperature_75cm,CMR_SoilTemperature_100cm,CMR_SoilTemperature_125cm
2016-07-24,18405.520833333336,18575.52083333333,1.6,8.974541666666667,9.107958333333332,101.181125,84.62312500000002,81.29708333333333,173.9345833333333,2.2384166666666663,,23.2,27.2875,26.20833333333333,10.077916666666667,9.929166666666667,9.654166666666667,9.429166666666664,9.226666666666668,9.034166666666666,8.419583333333334,8.038666666666666,6.993041666666668,6.245124999999999,5.5542500000000015
2016-07-25,17103.333333333336,18469.479166666664,0.0,11.930416666666664,11.657083333333334,102.83868750000002,60.71479166666666,58.80937499999999,58.46583333333334,9.846666666666666,,22.516666666666666,25.92083333333333,24.73333333333333,10.4225,10.2875,9.968333333333332,9.665,9.415416666666667,9.1275,8.451666666666666,8.030708333333335,6.9572499999999975,6.235,5.576083333333334
2016-07-26,14614.375,17337.500000000004,0.0,13.025416666666665,12.83375,109.58831578947368,51.39104166666667,49.53833333333333,55.95666666666666,8.375666666666666,,21.75,24.64166666666667,22.891666666666666,10.402916666666668,10.276666666666666,9.969583333333333,9.677916666666668,9.441666666666666,9.157916666666667,8.469166666666666,8.032208333333333,6.938791666666668,6.221916666666666,5.5745000000000005
2016-07-27,15626.666666666664,16588.854166666668,0.0,13.672916666666667,13.411250000000004,129.7032631578947,53.919166666666676,52.692083333333336,49.85291666666666,10.306041666666664,,21.058333333333334,23.63333333333333,21.445833333333333,10.74125,10.564583333333333,10.215416666666668,9.88375,9.607916666666666,9.252916666666666,8.517916666666666,8.047916666666667,6.919875,6.2010000000000005,5.5635
2016-07-28,15036.770833333336,16137.708333333332,5.9,13.824583333333333,13.643333333333333,101.21142105263156,59.16770833333334,57.58416666666668,57.13658333333333,7.423875,,20.479166666666668,22.829166666666666,20.3875,11.247916666666667,10.962916666666667,10.540416666666667,10.137083333333333,9.812916666666666,9.3825,8.597499999999998,8.094999999999999,6.919875,6.193416666666668,5.556541666666668
2016-07-29,15694.479166666668,15969.6875,0.0,11.848333333333334,11.755,76.9055,74.71520833333334,72.7325,100.72416666666668,4.059541666666666,,20.4375,22.72916666666667,20.025,11.236666666666665,10.98166666666667,10.60875,10.253333333333334,9.950833333333334,9.531666666666666,8.724166666666667,8.192916666666667,6.9472916666666675,6.200458333333333,5.550791666666666
2016-07-30,15344.791666666664,15710.9375,0.0,11.435416666666667,11.266666666666666,110.15819047619046,72.08229166666669,71.989375,139.75625,5.217333333333333,,20.20833333333333,22.42916666666667,19.679166666666667,11.135416666666664,10.97125,10.640833333333337,10.3125,10.023333333333332,9.61375,8.8025,8.26,6.98725,6.219291666666666,5.559416666666667
2016-07-31,14277.708333333332,15248.645833333336,0.0,11.847083333333336,11.782916666666665,142.56578260869566,59.32750000000001,57.60416666666666,91.00916666666667,5.891583333333332,,19.858333333333334,21.954166666666666,19.095833333333328,10.544583333333334,10.436666666666666,10.178333333333333,9.943333333333333,9.724166666666667,9.447916666666666,8.723333333333333,8.244166666666667,7.013041666666666,6.238708333333332,5.579791666666666
2016-08-01,13382.916666666664,14788.854166666664,0.0,13.57291666666667,13.404166666666667,72.58664705882354,54.001041666666644,52.53979166666666,65.91916666666667,6.637291666666665,,19.525,21.529166666666665,18.541666666666664,10.715416666666664,10.537916666666666,10.201666666666666,9.892916666666666,9.63125,9.311666666666666,8.594583333333334,8.1425,6.987166666666666,6.245541666666668,5.5906666666666665
2016-08-02,14074.479166666668,15162.083333333336,0.0,13.92666666666667,13.654583333333335,89.70572222222224,60.51291666666666,59.39979166666666,82.95791666666666,5.769708333333332,,19.129166666666666,21.045833333333334,17.995833333333334,11.467083333333335,11.132916666666668,10.680416666666666,10.245416666666666,9.898333333333332,9.44,8.641250000000001,8.138333333333334,6.956708333333332,6.229666666666668,5.5920000000000005
