param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.077375 	0.700035 	1.874924 	0.111204 	1.121147 	4.713021 	0.713916 	0.190437 	1.146826 	0.002000 	
0.451066 	0.431928 	1.148837 	0.120525 	1.381425 	4.836566 	0.352571 	0.176138 	9.125191 	0.002000 	
0.289086 	0.011537 	1.801410 	0.346105 	0.004399 	3.306802 	0.925495 	0.005562 	1.488467 	0.002000 	
0.077582 	0.115435 	0.812735 	0.151798 	0.382033 	4.363371 	0.815492 	0.166374 	1.178342 	0.002000 	
0.013843 	0.616656 	1.333293 	0.198479 	1.887040 	3.618496 	1.809581 	0.135529 	1.106048 	0.002000 	
0.040772 	0.416167 	1.703664 	0.439808 	0.972667 	5.943531 	0.301244 	0.165068 	1.054426 	0.002000 	
0.386280 	0.019435 	1.152423 	0.136808 	1.198434 	3.150958 	0.293868 	0.095300 	3.655981 	0.002000 	
0.225460 	0.150270 	1.593796 	0.628623 	1.420693 	5.814834 	0.186424 	0.037995 	7.536342 	0.002000 	
0.187029 	0.002380 	1.026554 	0.504272 	1.914472 	4.896298 	1.614093 	0.057387 	7.423134 	0.002000 	
0.007092 	0.623075 	1.950462 	0.426497 	0.795417 	5.739879 	1.443000 	0.025010 	1.350821 	0.002000 	
0.018026 	0.406870 	1.657869 	0.420495 	0.683699 	4.177193 	1.647225 	0.087421 	1.233717 	0.002000 	
0.276032 	0.057149 	1.724643 	0.361496 	1.354641 	5.913497 	0.509724 	0.124715 	6.598864 	0.002000 	
0.325405 	0.180767 	1.949914 	0.226049 	0.186612 	3.472658 	0.897812 	0.043912 	2.520787 	0.002000 	
0.124599 	0.100135 	1.020873 	0.525553 	0.787124 	3.327107 	0.469271 	0.093560 	2.290544 	0.002000 	
0.085120 	0.047480 	1.451087 	0.635528 	1.525746 	4.768000 	1.872920 	0.031801 	1.526585 	0.002000 	
0.160813 	0.088582 	0.838517 	0.932800 	1.853035 	3.454587 	0.027663 	0.105565 	9.521786 	0.002000 	
0.279304 	0.042019 	1.899020 	0.470829 	1.037500 	4.421188 	0.412347 	0.227321 	3.059582 	0.002000 	
0.115482 	0.357001 	1.984706 	0.269284 	1.373555 	5.302431 	1.752452 	0.052114 	1.434111 	0.002000 	
0.333766 	0.270924 	1.053517 	0.119675 	0.957748 	5.400778 	1.964491 	0.247917 	5.011146 	0.002000 	
0.312700 	0.106424 	1.413414 	0.544952 	0.739393 	3.326291 	0.430090 	0.190408 	6.951908 	0.002000 	
0.032988 	0.192682 	1.660924 	0.729693 	1.457458 	5.566666 	1.957587 	0.134072 	1.139060 	0.002000 	
0.197810 	0.221501 	1.833810 	0.205338 	1.729222 	4.156046 	1.037883 	0.273317 	5.476178 	0.002000 	
0.772027 	0.139496 	1.855024 	0.158612 	0.422368 	3.973820 	0.203610 	0.302521 	1.639569 	0.002000 	
0.117658 	0.016617 	1.569930 	0.645600 	1.466432 	4.487665 	0.035949 	0.071626 	2.395417 	0.002000 	
0.390325 	0.236733 	1.649965 	0.511695 	0.483697 	3.979418 	0.381921 	0.119692 	7.481210 	0.002000 	
0.145680 	0.478348 	1.665676 	0.722599 	1.468420 	3.334811 	1.708497 	0.193204 	4.014758 	0.002000 	
0.283299 	0.221621 	1.248869 	0.605102 	0.841096 	4.483977 	0.336839 	0.005667 	7.628193 	0.002000 	
0.073661 	0.274631 	1.988698 	0.371976 	1.940863 	4.172346 	0.329951 	0.093533 	1.272688 	0.002000 	
0.042344 	0.433669 	1.683820 	0.433144 	1.361689 	3.607125 	0.924772 	0.084166 	1.072103 	0.002000 	
0.127898 	0.708170 	1.279098 	0.248821 	1.850757 	5.221708 	1.729611 	0.246146 	4.026239 	0.002000 	
0.248056 	0.083898 	1.198690 	0.242893 	0.135411 	5.043243 	0.165778 	0.021204 	1.583698 	0.002000 	
0.007241 	0.643390 	1.648928 	0.256691 	0.838744 	5.793212 	1.099436 	0.019278 	1.356914 	0.002000 	
0.480188 	0.157703 	1.732168 	0.372441 	0.385787 	3.345111 	1.977911 	0.219960 	4.628190 	0.002000 	
0.044119 	0.627970 	1.408505 	0.152405 	0.931028 	3.756632 	1.236376 	0.096895 	1.070465 	0.002000 	
0.095044 	0.425640 	1.519482 	0.694190 	1.137196 	4.030889 	0.130660 	0.023783 	1.381949 	0.002000 	
