param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 dist 	  wgt 
0.226865 	1.093791 	1.583561 	0.502274 	0.002786 	0.023843 	0.007577 	0.001590 	0.435675 	0.783988 	0.010000 	
0.241751 	1.002707 	1.713964 	0.317787 	0.020372 	0.016111 	0.002696 	0.001834 	0.479446 	0.886396 	0.010000 	
0.186356 	1.005723 	1.027534 	1.106226 	0.046509 	0.019057 	0.004351 	0.002210 	0.410313 	0.946291 	0.010000 	
0.232677 	0.971769 	1.538011 	0.726287 	0.057662 	0.022742 	0.000126 	0.009775 	0.469983 	0.760874 	0.010000 	
0.161483 	1.099753 	1.497349 	0.763718 	0.028095 	0.017255 	0.003973 	0.000664 	0.333318 	0.778007 	0.010000 	
0.219419 	0.979909 	1.099355 	0.657053 	0.091438 	0.019695 	0.000590 	0.002538 	0.392584 	0.749344 	0.010000 	
0.170357 	1.042789 	0.827085 	0.297782 	0.054113 	0.024439 	0.004355 	0.002262 	0.387596 	0.676738 	0.010000 	
0.223100 	1.007653 	1.873247 	0.834077 	0.059354 	0.022229 	0.008912 	0.008514 	0.498883 	0.839438 	0.010000 	
0.193577 	1.042828 	1.518039 	0.660585 	0.011088 	0.016058 	0.002935 	0.009164 	0.499880 	0.832948 	0.010000 	
0.163192 	1.003473 	1.366789 	1.000861 	0.035928 	0.018600 	0.000837 	0.005147 	0.457221 	0.795936 	0.010000 	
0.243996 	0.950136 	1.041980 	0.357570 	0.000909 	0.023479 	0.004589 	0.000618 	0.447097 	0.744373 	0.010000 	
0.170433 	0.908002 	1.802915 	0.375394 	0.097587 	0.018157 	0.007188 	0.003073 	0.423039 	0.590930 	0.010000 	
0.225856 	0.901084 	1.343648 	1.473487 	0.093557 	0.017490 	0.006705 	0.009703 	0.486628 	0.946224 	0.010000 	
0.239339 	1.016827 	1.198002 	1.039059 	0.022737 	0.019379 	0.006950 	0.000956 	0.332127 	0.983631 	0.010000 	
0.198885 	1.001984 	1.550192 	1.436469 	0.086952 	0.021056 	0.004574 	0.002802 	0.354590 	0.850416 	0.010000 	
0.246307 	0.964191 	1.691457 	1.043524 	0.005943 	0.024982 	0.007968 	0.008540 	0.357830 	0.854505 	0.010000 	
0.150977 	1.028853 	1.427961 	0.650878 	0.077488 	0.018486 	0.002022 	0.000728 	0.462714 	0.696450 	0.010000 	
0.187878 	0.907147 	1.656327 	1.295142 	0.082471 	0.024267 	0.006577 	0.009777 	0.382298 	0.760504 	0.010000 	
0.243629 	1.000503 	0.873374 	1.387386 	0.074830 	0.016771 	0.005746 	0.003523 	0.472052 	1.205736 	0.010000 	
0.190332 	1.061210 	1.629072 	1.040962 	0.023172 	0.024717 	0.002141 	0.001561 	0.431391 	0.849597 	0.010000 	
0.188784 	1.053929 	1.609874 	1.053903 	0.043735 	0.019827 	0.008804 	0.000944 	0.458443 	0.828145 	0.010000 	
0.150768 	0.940225 	1.594707 	0.782639 	0.038336 	0.017106 	0.000706 	0.005259 	0.361705 	0.671497 	0.010000 	
0.170236 	0.901476 	0.951051 	0.267360 	0.032963 	0.019296 	0.001768 	0.004294 	0.434487 	0.644528 	0.010000 	
0.187023 	1.000664 	1.014439 	0.231663 	0.074857 	0.016805 	0.007614 	0.002321 	0.402798 	0.658621 	0.010000 	
0.229527 	1.095414 	1.666747 	0.824351 	0.002186 	0.020324 	0.002263 	0.004880 	0.399983 	0.912262 	0.010000 	
0.229709 	1.022767 	0.844314 	0.690014 	0.013561 	0.024066 	0.007960 	0.009004 	0.441119 	0.961999 	0.010000 	
0.163162 	1.028322 	1.269903 	0.282424 	0.097687 	0.021483 	0.008013 	0.004917 	0.393820 	0.630092 	0.010000 	
