param#0 	 param#1 	 dist 	  wgt 
1.392789 	0.350732 	1.128100 	0.010000 	
1.294996 	0.361371 	1.128310 	0.010000 	
1.405021 	0.480726 	1.563237 	0.010000 	
1.496389 	0.511443 	1.257001 	0.010000 	
1.634599 	0.457236 	3.499360 	0.010000 	
1.633995 	0.460415 	3.357022 	0.010000 	
1.535013 	0.420388 	12.126955 	0.010000 	
1.398206 	0.414361 	1.126013 	0.010000 	
1.443440 	0.409620 	1.115486 	0.010000 	
1.492100 	0.477487 	1.163146 	0.010000 	
1.473271 	0.499040 	1.123878 	0.010000 	
1.432298 	0.367861 	1.133052 	0.010000 	
1.275045 	0.448938 	1.128366 	0.010000 	
1.466024 	0.384699 	1.119343 	0.010000 	
1.656682 	0.483553 	12.574532 	0.010000 	
1.586472 	0.353286 	3.889403 	0.010000 	
1.480016 	0.437264 	1.475103 	0.010000 	
1.274578 	0.492354 	1.128261 	0.010000 	
1.428774 	0.329612 	1.125898 	0.010000 	
1.349146 	0.394342 	1.054739 	0.010000 	
1.451671 	0.490585 	1.283905 	0.010000 	
1.375864 	0.404862 	1.127440 	0.010000 	
1.341084 	0.480424 	1.133690 	0.010000 	
1.504499 	0.414751 	1.143864 	0.010000 	
1.563880 	0.465849 	9.707362 	0.010000 	
1.298397 	0.396562 	1.128257 	0.010000 	
1.352587 	0.510697 	1.128376 	0.010000 	
1.652220 	0.485701 	11.179419 	0.010000 	
1.370407 	0.369524 	1.126508 	0.010000 	
1.582962 	0.332197 	7.683335 	0.010000 	
1.510941 	0.471020 	1.437086 	0.010000 	
1.679541 	0.395306 	6.913000 	0.010000 	
1.718602 	0.416750 	2.187093 	0.010000 	
1.710445 	0.340505 	1.407551 	0.010000 	
1.446402 	0.435522 	1.123772 	0.010000 	
1.383147 	0.478282 	1.128100 	0.010000 	
1.548215 	0.438332 	9.039519 	0.010000 	
1.373767 	0.518256 	1.169324 	0.010000 	
1.252944 	0.387774 	1.128375 	0.010000 	
1.384157 	0.385765 	1.118907 	0.010000 	
1.680820 	0.343717 	1.417672 	0.010000 	
1.380439 	0.347571 	1.127864 	0.010000 	
1.534520 	0.455571 	1.219809 	0.010000 	
1.435649 	0.380847 	1.127112 	0.010000 	
1.478819 	0.327062 	1.127941 	0.010000 	
1.327968 	0.469594 	1.128225 	0.010000 	
1.391934 	0.351784 	1.127229 	0.010000 	
1.302276 	0.484171 	1.128419 	0.010000 	
1.417876 	0.428381 	1.127784 	0.010000 	
1.217887 	0.407150 	1.128430 	0.010000 	
1.267193 	0.509013 	1.128205 	0.010000 	
1.594015 	0.400919 	48.101952 	0.010000 	
1.552721 	0.349714 	2.039643 	0.010000 	
1.520102 	0.398067 	1.155364 	0.010000 	
1.615605 	0.518273 	9.890965 	0.010000 	
1.401877 	0.508988 	1.128283 	0.010000 	
1.274425 	0.517020 	1.128143 	0.010000 	
1.252619 	0.464272 	1.127129 	0.010000 	
1.667688 	0.465426 	3.761091 	0.010000 	
1.421431 	0.433891 	1.127308 	0.010000 	
1.550225 	0.355460 	1.196050 	0.010000 	
1.319159 	0.333270 	1.128274 	0.010000 	
1.451586 	0.439602 	1.156336 	0.010000 	
1.269671 	0.346609 	1.128112 	0.010000 	
1.634642 	0.439140 	4.382949 	0.010000 	
1.618270 	0.484471 	6.445825 	0.010000 	
1.521032 	0.322726 	6.642394 	0.010000 	
